item,form,meaning,iconic
practice,yoroyoro,wobbling|swaying,y
practice,fuwafuwa,fluffy|soft,y
control,katai,hard|tough,y
control,pyoNpyoN,bouncing|hopping,y
control,hisohiso,hissing|whispering,y
trial,koQsui,CUNNING,y
trial,yawarakai,DELICATE,y
trial,zyireQtai,ANNOYED/IMPATIENT,y
trial,motyokoi,TICKLING,y
trial,buruburu,TREMBLING,y
trial,tyikutyiku,ITCHING,y
trial,nebaneba,GOOEY,y
trial,hosoi,SMALL,y
trial,hetoheto,EXHAUSTED,y
trial,omoi,HEAVY,y
trial,oQkanai,FRIGHTENING,y
trial,yaNdagunaruQ,ANNOYED/IMPATIENT,y
trial,kibui,TIGHT,y
trial,syizukaya,QUIET,y
trial,zyitozyito,DAMP,y
trial,herakoi,CUNNING,n
trial,kakazyiru,SCRATCH,n
trial,matsupoi,GLARING (OVERLY BRIGHT),n
trial,hadagu,RAP (AT THE DOOR),n
trial,komaNka,TIGHT,n
trial,koenee,EXHAUSTED,n
trial,hizurasyii,GLARING (OVERLY BRIGHT),n
trial,nobude,RUDE,n
trial,toroi,SLOW,y
trial,yaQkoi,DELICATE,y
trial,akarui,BRIGHT,y
trial,syibasyiba,STINGING (PAIN),y
trial,syikusyiku,WATERY (EYES),y
trial,tyikatyika,PRICKLING,y
trial,futoi,BIG,y
trial,tyikatyika,STINGING (PAIN),y
trial,syaNsyaN,LIVELY (ENERGETIC),y
trial,komaka,SKINNY,y
trial,kutyii,STUFFED (FULL OF FOOD),y
trial,tsuuN,RINGING,y
trial,karai,SPICY,y
trial,katyikatyi,HARD,y
trial,dotsuku,RAP (AT THE DOOR),y
trial,yabuku,TEAR,n
trial,ibii,SMOKY,n
trial,dogitsuka,OILY/HEAVY (FOOD),n
trial,tsukareta,EXHAUSTED,n
trial,mabaii,GLARING (OVERLY BRIGHT),n
trial,oodoona,RUDE,n
trial,notaru,CRAWL,n
trial,sabaku,TEAR,n
trial,aQtakee,WARM,y
trial,syiNdo,EXHAUSTED,y
trial,nikoniko,GRINNING,y
trial,uzyauzya,TREMBLING,y
trial,futoi,THICK,y
trial,kutakuta,EXHAUSTED,y
trial,dokidoki,POUNDING (HEART),y
trial,yarakai,DELICATE,y
trial,netyinetyi,CLINGY,y
trial,iraira,PRICKLING,y
trial,sukoi,CUNNING,y
trial,sui,SOUR,y
trial,syoQpee,SALTY,y
trial,yaoi,DELICATE,y
trial,hotoru,DAMP,y
trial,naku,CRY,n
trial,akaanakaQta,DARK,n
trial,tagee,LOUD,n
trial,geNki,LIVELY (ENERGETIC),n
trial,syitsukoi,OILY/HEAVY (FOOD),n
trial,hasyikai,ITCHING,n
trial,kawaku,DRY,n
trial,egui,ACRID (TASTE),n
trial,musyimusyi,DAMP,y
trial,zyimezyime,DAMP,y
trial,samisyii,GLOOMY,y
