form,item,meaning,iframe,original_video,mosaic_video
honnori,practice,wafting,,,
chirahora,practice,skattering,,,
kebakeba,trial,fuzzy|frizzy|frazzled,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/coFCTS5SegY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HzFqRyGauW4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/coFCTS5SegY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
nikoniko-nomosaic,trial,smiling|beaming|grinning,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/e_mrW41kZyw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/e_mrW41kZyw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/R-2HWo-fPMI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
hiyahiya,trial,relieved,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zHkOE7zP4kg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/fvD7sXwQQvc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zHkOE7zP4kg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
harahara,trial,fluttering (down),"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-M9FAUzJUo4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/86d5_sXJTxI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-M9FAUzJUo4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
buruburu,trial,shaking|trembling,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MGJ9Wb3ALuI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lDj0ewS4k1U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MGJ9Wb3ALuI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
buruburu,trial,cold|chilly,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MGJ9Wb3ALuI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lDj0ewS4k1U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MGJ9Wb3ALuI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
korokoro,trial,rolling,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qjAsWBjSI3s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/B6zoEum95Dk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qjAsWBjSI3s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
korokoro2,trial,round|circular,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WKEgEcCuLwo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Ol3t-IGWd14"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WKEgEcCuLwo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
berabera,trial,blabbing on (about something)|prattle on (about something),"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GK3_tcHBs0w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2nxcKCYsnXA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GK3_tcHBs0w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
berabera2,trial,tearing|shredding|ripping,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QQusHGEYikM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/clGZaLvs4K8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QQusHGEYikM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
