form,item,meaning,no_foils,,mosaic_video
honnori,practice,wafting,,,
chirahora,practice,skattered,,,
kebakeba,trial,fuzzy|frizzy|frazzled,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/coFCTS5SegY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
nikoniko-nomosaic,trial,smiling|beaming|grinning,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/R-2HWo-fPMI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
hiyahiya,trial,relieved|close call|phew,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zHkOE7zP4kg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
harahara,trial,fluttering|drifting|sinking,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-M9FAUzJUo4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
buruburu,trial,shaking|trembling|shivering,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MGJ9Wb3ALuI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
buruburu,trial,cold|chilly|freezing,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MGJ9Wb3ALuI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
korokoro,trial,rolling|turning|spinning,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qjAsWBjSI3s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
korokoro2,trial,round|circular|curved,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WKEgEcCuLwo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
berabera,trial,blabbing on |prattling on|chattering,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GK3_tcHBs0w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
berabera2,trial,tearing|shredding|ripping,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QQusHGEYikM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
boroboro,trial,sloppily|crumbling|messily,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/E3IbdAzG0Kc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
morimori,trial,muscly|buff|bulky,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BmXII21qvZA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
morimori2,trial,gobbling|gorging (on food)|pigging out,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/fthOoGRiNzo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
morimori3,trial,lumpy|in a mound|piled up,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rXod0W6F7xs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
ujauja,trial,squirming|wriggling|fidgety,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lKKhXr5zZkg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
