experiment,trial,item_type,form,meaning,foils
1,1,practice,honnori,WAFTING,chirahora|kachikachi|korokoro2|fuwafuwa|hiyahiya|wanwan|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,2,practice,chirahora,SKATTERED,honnori|kachikachi|korokoro2|fuwafuwa|hiyahiya|wanwan|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,3,trial,kachikachi,HARD|SOLID|FIRM,honnori|chirahora|korokoro2|fuwafuwa|hiyahiya|wanwan|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,4,trial,korokoro2,ROUND|CIRCULAR|CURVED,honnori|chirahora|kachikachi|fuwafuwa|hiyahiya|wanwan|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,5,trial,fuwafuwa,FLUFFY|SPONGY|SOFT,honnori|chirahora|kachikachi|korokoro2|hiyahiya|wanwan|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,6,trial,hiyahiya,RELIEVED|CLOSE CALL|PHEW,honnori|chirahora|kachikachi|korokoro2|fuwafuwa|wanwan|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,7,trial,wanwan,CRYING|BAWLING|HOWLING,honnori|chirahora|kachikachi|korokoro2|fuwafuwa|hiyahiya|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,8,trial,chirahora,HERE AND THERE|TO AND FRO|SKATTERED,honnori|kachikachi|korokoro2|fuwafuwa|hiyahiya|wanwan|wakuwaku|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,9,trial,wakuwaku,EXCITED|CHEERFUL|UPBEAT,honnori|chirahora|kachikachi|korokoro2|fuwafuwa|hiyahiya|wanwan|morimori|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
1,10,trial,morimori,MUSCLY|BUFF|BULKY,honnori|chirahora|kachikachi|korokoro2|fuwafuwa|hiyahiya|wanwan|wakuwaku|kankan2|ukiuki|nikoniko-nomosaic|gojagoja2|harahara|kankan3|gizagiza|nurunuru|korokoro|betabeta|ujauja|kankan|hokahoka|dokidoki|boroboro|shikkari|bukubuku|sansan|kebakeba|kirakira|sekaseka|morimori2|berabera2|bukubuku2|chikuchiku|gayagaya|gokugoku|hisohiso|berabera|buruburu|gojagoja|mojimoji|morimori3|debudebu|kunekune
