experiment,trial,item_type,form,meaning
1,1,practice,honnori,wafting
1,2,practice,chirahora,skattered
1,3,trial,hokahoka,steaming hot|piping hot|scalding hot
1,4,trial,kebakeba,fuzzy|frizzy|frazzled
1,5,trial,debudebu,fat|pudgy|dumpy
1,6,trial,bukubuku2,round|swollen|bloated
1,7,trial,fuwafuwa,fluffy|spongy|soft
1,8,trial,gizagiza,zig-zag|jagged|sharp edged
1,9,trial,chirahora,here and there|to and fro|skattered
1,10,trial,honnori,faintly|slightly|subtly
1,11,trial,kankan2,angry|furious|mad
2,1,practice,honnori,wafting
2,2,practice,chirahora,skattered
2,3,trial,dokidoki,anxious|afraid|nervous
2,4,trial,wanwan,crying|bawling|howling
2,5,trial,shikkari,tightly|firmly|securely
2,6,trial,gokugoku,gulping|guzzling|drinking
2,7,trial,kunekune,winding|twisting|twirling
2,8,trial,wakuwaku,excited|cheerful|upbeat
2,9,trial,kachikachi,hard|solid|firm
2,10,trial,kirakira,sparkling|glittering|twinkling
2,11,trial,sekaseka,rushing|hurried|flustered
3,1,practice,honnori,wafting
3,2,practice,chirahora,skattered
3,3,trial,gayagaya,loud|hubbub|noisy
3,4,trial,bukubuku,chubby|pudgy|fat
3,5,trial,kankan3,clanging|clamoring|banging
3,6,trial,berabera2,tearing|shredding|ripping
3,7,trial,hiyahiya,relieved|close call|phew
3,8,trial,kankan,blazing|bright|dazzling
3,9,trial,gojagoja2,jumbled up|mixed up|muddled up
3,10,trial,betabeta,sticky|gummy|gooey
3,11,trial,nurunuru,slimy|slippery|greasy
4,1,practice,honnori,wafting
4,2,practice,chirahora,skattered
4,3,trial,sansan,blazing|bright|dazzling
4,4,trial,gojagoja,jumbled up|mixed up|muddled up
4,5,trial,mojimoji,restless|fidgety|squirming
4,6,trial,korokoro,rolling|turning|spinning
4,7,trial,chikuchiku,prickling|stinging|tingling
4,8,trial,harahara,fluttering|drifting|sinking
4,9,trial,buruburu,cold|chilly|freezing
4,10,trial,korokoro2,round|circular|curved
4,11,trial,nikoniko-nomosaic,smiling|beaming|grinning
5,1,practice,honnori,wafting
5,2,practice,chirahora,skattered
5,3,trial,morimori2,gobbling|gorging (on food)|pigging out
5,4,trial,morimori3,lumpy|in a mound|piled up
5,5,trial,hisohiso,whispering|hushed|quietly
5,6,trial,berabera,blabbing on |prattling on|chattering
5,7,trial,boroboro,sloppily|crumbling|messily
5,8,trial,ujauja,squirming|wriggling|fidgety
5,9,trial,ukiuki,excited|cheerful|upbeat
5,10,trial,buruburu,shaking|trembling|shivering
5,11,trial,morimori,muscly|buff|bulky
