experiment,trial,item_type,form,meaning,foils
1,1,practice,honnori,WAFTING,chirahora|berabera2|mojimoji|sekaseka|boroboro|hokahoka|ujauja|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,2,practice,chirahora,SKATTERED,honnori|berabera2|mojimoji|sekaseka|boroboro|hokahoka|ujauja|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,3,trial,berabera2,TEARING|SHREDDING|RIPPING,honnori|chirahora|mojimoji|sekaseka|boroboro|hokahoka|ujauja|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,4,trial,mojimoji,RESTLESS|FIDGETY|SQUIRMING,honnori|chirahora|berabera2|sekaseka|boroboro|hokahoka|ujauja|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,5,trial,sekaseka,RUSHING|HURRIED|FLUSTERED,honnori|chirahora|berabera2|mojimoji|boroboro|hokahoka|ujauja|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,6,trial,boroboro,SLOPPILY|CRUMBLING|MESSILY,honnori|chirahora|berabera2|mojimoji|sekaseka|hokahoka|ujauja|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,7,trial,hokahoka,STEAMING HOT|PIPING HOT|SCALDING HOT,honnori|chirahora|berabera2|mojimoji|sekaseka|boroboro|ujauja|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,8,trial,ujauja,SQUIRMING|WRIGGLING|FIDGETY,honnori|chirahora|berabera2|mojimoji|sekaseka|boroboro|hokahoka|sansan|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,9,trial,sansan,BLAZING|BRIGHT|DAZZLING,honnori|chirahora|berabera2|mojimoji|sekaseka|boroboro|hokahoka|ujauja|wanwan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
1,10,trial,wanwan,CRYING|BAWLING|HOWLING,honnori|chirahora|berabera2|mojimoji|sekaseka|boroboro|hokahoka|ujauja|sansan|buruburu|kunekune|kirakira|gojagoja2|hiyahiya|debudebu|bukubuku2|wakuwaku|nurunuru|korokoro|morimori|gokugoku|fuwafuwa|ukiuki|shikkari|betabeta|morimori3|hisohiso|dokidoki|gojagoja|kebakeba|gayagaya|kachikachi|chikuchiku|kankan2|nikoniko-nomosaic|kankan|berabera|morimori2|harahara|kankan3|gizagiza|korokoro2|bukubuku
