experiment,trial,item_type,form,meaning,foils
1,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
1,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
1,3,trial,serasera,PRICKLING|TINGLING,kohu|mokyu|goku
1,4,trial,tsuuN,RINGING (E.G. A RINGING SOUND IN YOUR EARS),hiQ|wiQ|yiQ
1,5,trial,yakamasyii,LOUD|NOISY,tunutyura|tyuzusuna|tsurusyuma
1,6,trial,amai,SWEET,utyua|usua|usyua
1,7,trial,syimeQpoi,WET|SOGGY|DAMP,ratyosyea|nasowea|masyoyea
1,8,trial,tsurutsuru,SLIPPERY|SMOOTH,hihi|wikyi|yiki
1,9,trial,nuQka,HOT,syinu|kizu|hiru
1,10,trial,tsukareta,EXHAUSTED|TIRED|WEARY,hinuhohu|wizukyowu|yirukoyu
1,11,trial,misuborasyii,SCRUFFY|TATTY|RAGGEDY,tyakityehura|samihekyuna|syagisyekuma
1,12,trial,sabui,COLD|CHILLY,kutyia|muhia|gusyia
1,13,trial,gomeku,CRY|WAIL,retyoni|sesozi|tyesyori
1,14,control,katai,HARD,nuhua|zuwua|ruyua
1,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
1,16,control,hisohiso,WHISPERING,nake|dzame|zyage
2,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
2,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
2,3,trial,omoi,HEAVY,etyea|esea|esyea
2,4,trial,karai,SPICY,nuhua|zukyua|rukua
2,5,trial,zyireQtai,ANNOYED|IMPATIENT,mahohua|wakyowua|hakoyua
2,6,trial,moyamoya,FUZZY|BLURRY|HAZY,tyetu|setyu|syetsu
2,7,trial,yaQkiri,ANNOYED|IMPATIENT,tunaha|tyuzakya|tsuraka
2,8,trial,hoQkori,EXHAUSTED|TIRED|WEARY,neneha|dzezekya|zyereka
2,9,trial,tataku,RAP (AT THE DOOR)|KNOCK (AT THE DOOR),huhuni|wuwuzi|yuyuri
2,10,trial,kakazyiru,SCRATCH,nunumahi|zuzuwakyi|ruruhaki
2,11,trial,hasyikai,PRICKLING|TINGLING,nuranua|dzunazua|zyumarua
2,12,trial,egarai,PRICKLING|TINGLING,oruhua|osukyua|otyukua
2,13,trial,miQtomonai,SCRUFFY|TATTY|RAGGEDY,tyahetyesyua|sawesekua|syayesyehua
2,14,control,katai,HARD,nuhua|zuwua|ruyua
2,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
2,16,control,hisohiso,WHISPERING,nake|dzame|zyage
3,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
3,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
3,3,trial,motyokoi,TICKLING,tyewenea|seyezea|syegerea
3,4,trial,kaQtarii,EXHAUSTED|TIRED|WEARY,nuhuha|zuwukya|ruyuka
3,5,trial,mabusyii,GLARING (LIGHT)|BLINDING (LIGHT)|DAZZLING,tyutyira|suhina|syusyima
3,6,trial,haQkiri,CLEAR|REFRESHED,nunaha|dzuzakya|zyuraka
3,7,trial,kiNkiN,COLD|CHILLY,naQ|zaQ|raQ
3,8,trial,zyuruzyuru,OOZING|DRIBBLING|SEEPING OUT (E.G. LIQUID),mihi|wikyi|hiki
3,9,trial,tyikatyika,PRICKLING|TINGLING,wanu|yazu|garu
3,10,trial,arai,ROUGH|GRITTY|COARSE,uhua|ukyua|ukua
3,11,trial,naku,CRY|WAIL,syuni|kuzi|huri
3,12,trial,hadagu,RAP (AT THE DOOR)|KNOCK (AT THE DOOR),nuwuri|dzuyusi|zyuhutyi
3,13,trial,oodoona,RUDE|ARROGANT|BRAZEN,ewesyu|eyeku|ehehu
3,14,control,katai,HARD,nuhua|zuwua|ruyua
3,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
3,16,control,hisohiso,WHISPERING,nake|dzame|zyage
4,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
4,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
4,3,trial,toroi,SLOW,hehea|wekyea|yekea
4,4,trial,kiiN,RINGING (E.G. A RINGING SOUND IN YOUR EARS),naQ|zaQ|raQ
4,5,trial,ookii,BIG|MASSIVE|LARGE|HUGE,ena|eza|era
4,6,trial,iQpai,STUFFED (FROM EATING TOO MUCH)|FULL (FROM EATING),asyua|awua|ayua
4,7,trial,zyizyimusai,SCRUFFY|TATTY|RAGGEDY,mamatyikua|wawasimua|hahasyigua
4,8,trial,nukui,WARM,syinia|kizia|hiria
4,9,trial,futoi,BIG|MASSIVE|LARGE|HUGE,rihea|giwea|niyea
4,10,trial,tagee,LOUD|NOISY,huro|wuso|yutyo
4,11,trial,uresyii,GLAD|HAPPY,ihora|ikyona|ikoma
4,12,trial,hasyikai,ITCHING|PRICKLING,nuranua|dzunazua|zyumarua
4,13,trial,dareta,WORN OUT|TIRED|WEARY|EXHAUSTED,wuhohu|yukyowu|hukoyu
4,14,control,katai,HARD,nuhua|zuwua|ruyua
4,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
4,16,control,hisohiso,WHISPERING,nake|dzame|zyage
5,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
5,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
5,3,trial,gatagata,SHAKING|TREMBLING,ruhu|suwu|tyuyu
5,4,trial,piripiri,BURNING|TINGLING,syaha|wakya|yaka
5,5,trial,subesube,SLIPPERY|SMOOTH,kityo|miho|gisyo
5,6,trial,usui,BLAND (TASTE)|TASTELESS|WATERY (TASTE),ikia|imia|igia
5,7,trial,betabeta,STICKY|GOOEY,tyohu|howu|syoyu
5,8,trial,omoi,OILY/HEAVY (FOOD),etyea|esea|esyea
5,9,trial,suzusyii,COOL|FRESH,kigira|mikyina|gikima
5,10,trial,koe,SLUGGISH|LETHARGIC,neo|zeo|reo
5,11,trial,hau,CRAWL|CREEP,nui|dzui|zyui
5,12,trial,kudoi,SALTY|BRINY (TASTE),niwea|ziyea|rihea
5,13,trial,hosoi,THIN|SLENDER,nekea|dzemea|zyegea
5,14,control,katai,HARD,nuhua|zuwua|ruyua
5,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
5,16,control,hisohiso,WHISPERING,nake|dzame|zyage
6,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
6,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
6,3,trial,netyanetya,STICKY|GOOEY,syowu|koyu|hogu
6,4,trial,yaoi,SOFT|SQUISHY,tuea|tyuea|tsuea
6,5,trial,nureru,WET|SOGGY|DAMP,syihohi|kikyokyi|hikoki
6,6,trial,saku,TEAR|RIP,kuni|muzi|guri
6,7,trial,tyiisoo,TIGHT|PINCHING,wake|yame|gage
6,8,trial,tyiQtyai,SMALL|LITTLE|TINY,wawua|yayua|gagua
6,9,trial,nebaneba,STICKY|GOOEY,syotyu|kohu|hosyu
6,10,trial,egui,ACRID (TASTE)|BITTER (TASTE),oria|osia|otyia
6,11,trial,omoreru,HUMID|MUGGY,etyehohi|esekyokyi|esyekoki
6,12,trial,ookii,ROUGH|GRITTY|COARSE,ena|eza|era
6,13,trial,narui,FLAT|SMOOTH,syuhia|kukyia|hukia
6,14,control,katai,HARD,nuhua|zuwua|ruyua
6,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
6,16,control,hisohiso,WHISPERING,nake|dzame|zyage
7,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
7,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
7,3,trial,syibui,SOUR|ACIDIC,ratyia|nahia|masyia
7,4,trial,boNyari,FUZZY|BLURRY|HAZY,tyeQtuha|heQtyukya|syeQtsuka
7,5,trial,marui,ROUND|CIRCULAR,tyuhia|sukyia|syukia
7,6,trial,yawarakai,SOFT|SQUISHY,tuzyuhunua|tyutyukyuzua|tsutsukurua
7,7,trial,booQ,FUZZY|BLURRY|HAZY,tyeN|heN|syeN
7,8,trial,buruburu,SHAKING|TREMBLING,tyihi|hikyi|syiki
7,9,trial,zyukuzyuku,OOZING|DRIBBLING|SEEPING OUT (E.G. LIQUID),mini|wizi|hiri
7,10,trial,kebutai,SMOKY,notyihua|zohiwua|rosyiyua
7,11,trial,kooru,FREEZE,nehi|zekyi|reki
7,12,trial,hagai,ANNOYED|IMPATIENT,nurua|dzusua|zyutyua
7,13,trial,gurasyi,SAD|GLUM,rihura|sikyuna|tyikuma
7,14,control,katai,HARD,nuhua|zuwua|ruyua
7,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
7,16,control,hisohiso,WHISPERING,nake|dzame|zyage
8,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
8,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
8,3,trial,hayai,FAST|QUICK|SPEEDY,nutua|dzutyua|zyutsua
8,4,trial,bakubaku,POUNDING (E.G. HEADACHE)|THROBBING (E.G. HEADACHE),tyuni|huzi|syuri
8,5,trial,zyikuzyiku,HUMID|MUGGY,mani|wazi|hari
8,6,trial,deQkai,BIG|MASSIVE|LARGE|HUGE,wonua|yozua|horua
8,7,trial,igaiga,PRICKLING|TINGLING,aru|asu|atyu
8,8,trial,syitosyito,WET|SOGGY|DAMP,rahe|nawe|maye
