experiment,trial,item_type,form,meaning
1,1,practice,yoroyoro,WOBBLING
1,2,practice,fuwafuwa,FLUFFY
1,3,trial,suu,SUCK
1,4,trial,igaiga,PRICKLING|TINGLING
1,5,trial,aQtakee,WARM
1,6,trial,syakiQ,LIVELY|ENERGETIC
1,7,trial,iQpai,FULL (to the brim)|FULL (to bursting)
1,8,trial,nebaneba,STICKY|GOOEY
1,9,trial,kaQtarii,EXHAUSTED|TIRED|WEARY
1,10,trial,koe,SLUGGISH|LETHARGIC
1,11,trial,iteru,FREEZE
1,12,trial,kaii,PRICKLING|TINGLING
1,13,trial,dareta,WORN OUT|TIRED|WEARY|EXHAUSTED
1,14,control,katai,HARD
1,15,control,pyoNpyoN,BOUNCING|HOPPING
1,16,control,hisohiso,WHISPERING
2,1,practice,yoroyoro,WOBBLING
2,2,practice,fuwafuwa,FLUFFY
2,3,trial,nigai,BITTER|ACRID
2,4,trial,keQko,CLEAN|TIDY
2,5,trial,guQtari,EXHAUSTED|TIRED|WEARY
2,6,trial,naNgii,SLUGGISH|LETHARGIC
2,7,trial,zyikazyika,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
2,8,trial,bakubaku,POUNDING (e.g. headache)|THROBBING (e.g. headache)
2,9,trial,zuNzuN,THROBBING|PULSATING
2,10,trial,sabui,COLD|CHILLY
2,11,trial,syibutoi,RUDE|ARROGANT|BRAZEN
2,12,trial,koragu,DRY|PARCHED
2,13,trial,komaNka,TIGHT|PINCHING
2,14,control,katai,HARD
2,15,control,pyoNpyoN,BOUNCING|HOPPING
2,16,control,hisohiso,WHISPERING
3,1,practice,yoroyoro,WOBBLING
3,2,practice,fuwafuwa,FLUFFY
3,3,trial,yawakoi,SOFT|SQUISHY
3,4,trial,suzusyii,COOL|FRESH
3,5,trial,netyanetya,STICKY|GOOEY
3,6,trial,tsurutsuru,SLIPPERY|SMOOTH
3,7,trial,komai,SMALL|LITTLE|TINY
3,8,trial,netyinetyi,CLINGY
3,9,trial,tsuuN,RINGING (e.g. a ringing sound in your ears)
3,10,trial,syibaru,BIND|TIGHTEN
3,11,trial,mameda,LIVELY|ENERGETIC
3,12,trial,sukosyi,A LITTLE|SLIGHTLY
3,13,trial,amai,BLAND (taste)|TASTELESS|WATERY (taste)
3,14,control,katai,HARD
3,15,control,pyoNpyoN,BOUNCING|HOPPING
3,16,control,hisohiso,WHISPERING
4,1,practice,yoroyoro,WOBBLING
4,2,practice,fuwafuwa,FLUFFY
4,3,trial,nikoniko,GRINNING|SMILING
4,4,trial,suQkiri,CLEAR|REFRESHED
4,5,trial,zyuruzyuru,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid)
4,6,trial,yaNdagunaruQ,ANNOYED|IMPATIENT
4,7,trial,kapokapo,SLOSHING|SPLASHING
4,8,trial,syibui,SOUR|ACIDIC
4,9,trial,zomizomi,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE)
4,10,trial,tsukareta,EXHAUSTED|TIRED|WEARY
4,11,trial,modokasyii,ANNOYED|IMPATIENT
4,12,trial,yabuku,TEAR|RIP
4,13,trial,geNki,LIVELY|ENERGETIC
4,14,control,katai,HARD
4,15,control,pyoNpyoN,BOUNCING|HOPPING
4,16,control,hisohiso,WHISPERING
5,1,practice,yoroyoro,WOBBLING
5,2,practice,fuwafuwa,FLUFFY
5,3,trial,karai,SPICY
5,4,trial,tyikatyika,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
5,5,trial,dokidoki,POUNDING (e.g. headache)|THROBBING (e.g. headache)
5,6,trial,hieQda,COLD|CHILLY
5,7,trial,tyoQto,A LITTLE|SLIGHTLY
5,8,trial,sukoi,CUNNING|SLY|SNEAKY
5,9,trial,nigai,ACRID (taste)|BITTER (taste)
5,10,trial,kitanai,CUNNING|SLY|SNEAKY
5,11,trial,erai,EXHAUSTED|TIRED|WEARY
