experiment,trial,item_type,form,meaning
1,1,practice,yoroyoro,WOBBLING
1,2,practice,fuwafuwa,FLUFFY
1,3,trial,marui,ROUND|CIRCULAR
1,4,trial,guNnari,EXHAUSTED|TIRED|WEARY
1,5,trial,hotoru,HUMID|MUGGY
1,6,trial,hayai,FAST|QUICK|SPEEDY
1,7,trial,zarazara,ROUGH|GRITTY|COARSE
1,8,trial,yawakoi,SOFT|SQUISHY
1,9,trial,syobosyobo,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)"
1,10,trial,biNbogena,SCRUFFY|TATTY|RAGGEDY
1,11,trial,kowai,HARD
1,12,trial,hizurasyii,GLARING (light)|BLINDING (light)
1,13,trial,sabaku,TEAR|RIP
1,14,control,katai,HARD
1,15,control,pyoNpyoN,BOUNCING|HOPPING
1,16,control,hisohiso,WHISPERING
2,1,practice,yoroyoro,WOBBLING
2,2,practice,fuwafuwa,FLUFFY
2,3,trial,zyizyimusai,SCRUFFY|TATTY|RAGGEDY
2,4,trial,aQtakee,WARM
2,5,trial,syakiQ,CLEAR|REFRESHED
2,6,trial,akarui,BRIGHT|SUNNY
2,7,trial,nukui,WARM
2,8,trial,zyikuzyiku,HUMID|MUGGY
2,9,trial,hirihiri,THROBBING|PULSATING
2,10,trial,kakazyiru,SCRATCH
2,11,trial,mawaru,ROLL|SPIN
2,12,trial,kooru,FREEZE
2,13,trial,yogoreru,WET|SOGGY|DAMP
2,14,control,katai,HARD
2,15,control,pyoNpyoN,BOUNCING|HOPPING
2,16,control,hisohiso,WHISPERING
3,1,practice,yoroyoro,WOBBLING
3,2,practice,fuwafuwa,FLUFFY
3,3,trial,kowa,SCARY|FRIGHTENING
3,4,trial,osoi,SLOW
3,5,trial,guQtari,EXHAUSTED|TIRED|WEARY
3,6,trial,syiQketoru,WET|SOGGY|DAMP
3,7,trial,syibityoo,COLD|CHILLY
3,8,trial,zuruNzuruN,SLIMY|GOOEY
3,9,trial,nebaneba,SLIMY|SLIPPERY|SLICK
3,10,trial,syibaru,BIND|TIGHTEN
3,11,trial,migotsu,CLEAN|TIDY
3,12,trial,igai,BIG|MASSIVE|LARGE|HUGE
3,13,trial,utsukusyi,CLEAN|TIDY
3,14,control,katai,HARD
3,15,control,pyoNpyoN,BOUNCING|HOPPING
3,16,control,hisohiso,WHISPERING
4,1,practice,yoroyoro,WOBBLING
4,2,practice,fuwafuwa,FLUFFY
4,3,trial,nebaneba,SLIMY|GOOEY
4,4,trial,ookii,LOUD|NOISY
4,5,trial,zoNzoN,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE)
4,6,trial,nebaneba,STICKY|GOOEY
4,7,trial,toroi,SLOW
4,8,trial,tyikutyiku,ITCHING|PRICKLING
4,9,trial,biQto,A LITTLE|SLIGHTLY
4,10,trial,kyootee,SCARY|FRIGHTENING
4,11,trial,herakoi,CUNNING|SLY|SNEAKY
4,12,trial,amai,BLAND (taste)|TASTELESS|WATERY (taste)
4,13,trial,sabui,COLD|CHILLY
4,14,control,katai,HARD
4,15,control,pyoNpyoN,BOUNCING|HOPPING
4,16,control,hisohiso,WHISPERING
5,1,practice,yoroyoro,WOBBLING
5,2,practice,fuwafuwa,FLUFFY
5,3,trial,zyiNzyiN,POUNDING (e.g. headache)|THROBBING (e.g. headache)
5,4,trial,suu,SUCK
5,5,trial,hoQkori,EXHAUSTED|TIRED|WEARY
5,6,trial,suzusyii,COOL|FRESH
5,7,trial,hieQda,COLD|CHILLY
5,8,trial,yakiyaki,ANNOYED|IMPATIENT
5,9,trial,haQkiri,CLEAR|REFRESHED
5,10,trial,geNki,LIVELY|ENERGETIC
5,11,trial,kara,EMPTY
5,12,trial,hedzune,SAD|GLUM
5,13,trial,koragu,DRY|PARCHED
5,14,control,katai,HARD
5,15,control,pyoNpyoN,BOUNCING|HOPPING
5,16,control,hisohiso,WHISPERING
6,1,practice,yoroyoro,WOBBLING
