experiment,trial,item_type,form,meaning,foils
1,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
1,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
1,3,trial,toroi,SLOW,hehea|wekyea|yekea
1,4,trial,komaka,THIN|SLENDER,netyunu|zesuzu|resyuru
1,5,trial,kirikiri,CRAMPING (E.G. IN STOMACH)|SPASMING (E.G. IN STOMACH),naha|zakya|raka
1,6,trial,semai,CRAMPED|TIGHT,kotyua|mosua|gosyua
1,7,trial,yawakoi,SOFT|SQUISHY,tuzyunea|tyutyuzea|tsutsurea
1,8,trial,piripiri,BURNING|TINGLING,syaha|wakya|yaka
1,9,trial,biQto,A LITTLE|SLIGHTLY,tyahe|hawe|syaye
1,10,trial,kudoi,SALTY|BRINY (TASTE),niwea|ziyea|rihea
1,11,trial,utsukusyi,CLEAN|TIDY,ihinira|iwizina|iyirima
1,12,trial,kowai,EXHAUSTED|TIRED|WEARY,nezyua|zetyua|retsua
1,13,trial,hagai,ANNOYED|IMPATIENT,nurua|dzusua|zyutyua
1,14,control,katai,HARD,nuhua|zuwua|ruyua
1,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
1,16,control,hisohiso,WHISPERING,nake|dzame|zyage
2,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
2,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
2,3,trial,futoi,BIG|MASSIVE|LARGE|HUGE,rihea|giwea|niyea
2,4,trial,hiyaQkoi,COOL|FRESH,natunea|dzatyuzea|zyatsurea
2,5,trial,nigai,BITTER|ACRID,syarua|kasua|hatyua
2,6,trial,syoQpee,SALTY|BRINY (TASTE),resyo|newo|meyo
2,7,trial,kitsui,TIGHT|PINCHING,nahia|zawia|rayia
2,8,trial,syizukaya,QUIET,raginutu|nakyizutyu|makirutsu
2,9,trial,motyokoi,TICKLING,tyewenea|seyezea|syegerea
2,10,trial,kebutai,SMOKY,notyihua|zohiwua|rosyiyua
2,11,trial,omoreru,HUMID|MUGGY,etyehohi|esekyokyi|esyekoki
2,12,trial,koe,SLUGGISH|LETHARGIC,neo|zeo|reo
2,13,trial,karui,LIGHT|AIRY,nuhia|zukyia|rukia
2,14,control,katai,HARD,nuhua|zuwua|ruyua
2,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
2,16,control,hisohiso,WHISPERING,nake|dzame|zyage
3,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
3,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
3,3,trial,zyimezyime,HUMID|MUGGY,matyo|waso|hasyo
3,4,trial,booQ,FUZZY|BLURRY|HAZY,tyeN|heN|syeN
3,5,trial,ookii,LOUD|NOISY,ena|eza|era
3,6,trial,netyinetyi,CLINGY,syowa|koya|hoga
3,7,trial,suzusyii,COOL|FRESH,kigira|mikyina|gikima
3,8,trial,zyukuzyuku,OOZING|DRIBBLING|SEEPING OUT (E.G. LIQUID),mini|wizi|hiri
3,9,trial,zawazawa,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),guzyu|kyutyu|kutsu
3,10,trial,amai,BLAND (TASTE)|TASTELESS|WATERY (TASTE),utyua|usua|usyua
3,11,trial,futoi,ROUGH|GRITTY|COARSE,rihea|giwea|niyea
3,12,trial,naku,CRY|WAIL,syuni|kuzi|huri
3,13,trial,kawaku,DRY|PARCHED,nuzyuni|zutyuzi|rutsuri
3,14,control,katai,HARD,nuhua|zuwua|ruyua
3,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
3,16,control,hisohiso,WHISPERING,nake|dzame|zyage
4,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
4,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
4,3,trial,sui,SOUR|ACIDIC,kia|mia|gia
4,4,trial,igaiga,PRICKLING|TINGLING,aru|asu|atyu
4,5,trial,uzyauzya,SHAKING|TREMBLING,imu|iwu|ihu
4,6,trial,nuQka,HOT,syinu|kizu|hiru
4,7,trial,syaN,CLEAR|REFRESHED,ruQ|nuQ|muQ
4,8,trial,syibareru,COLD|CHILLY,ratyuhohi|nahukyokyi|masyukoki
4,9,trial,nebutai,SLEEPY|DROWSY,syotyihua|kohiwua|hosyiyua
4,10,trial,dogitsuka,OILY/HEAVY (FOOD),werahinu|yesawizu|hetyayiru
4,11,trial,migotsu,CLEAN|TIDY,tyarehi|sasewi|syatyeyi
4,12,trial,syibaru,BIND|TIGHTEN,ratyuhi|nahukyi|masyuki
4,13,trial,koenee,EXHAUSTED|TIRED|WEARY,neosyo|zeoko|reoho
4,14,control,katai,HARD,nuhua|zuwua|ruyua
4,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
4,16,control,hisohiso,WHISPERING,nake|dzame|zyage
5,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
5,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
5,3,trial,toNtoN,POUNDING (E.G. HEADACHE)|THROBBING (E.G. HEADACHE),heQ|weQ|yeQ
5,4,trial,moyamoya,FUZZY|BLURRY|HAZY,tyetu|setyu|syetsu
5,5,trial,syiNdo,EXHAUSTED|TIRED|WEARY,raQwe|naQye|maQhe
5,6,trial,zyizyimusai,SCRUFFY|TATTY|RAGGEDY,mamatyikua|wawasimua|hahasyigua
5,7,trial,dayai,EXHAUSTED|TIRED|WEARY,wutua|yutyua|hutsua
5,8,trial,zomizomi,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),getya|kyesa|kesya
5,9,trial,karai,SALTY|BRINY (TASTE),nuhua|zukyua|rukua
5,10,trial,tsukareta,EXHAUSTED|TIRED|WEARY,hinuhohu|wizukyowu|yirukoyu
5,11,trial,ikiru,HUMID|MUGGY,anahi|azakyi|araki
5,12,trial,dareta,WORN OUT|TIRED|WEARY|EXHAUSTED,wuhohu|yukyowu|hukoyu
5,13,trial,otorosyii,SCARY|FRIGHTENING,ehehera|ewekyena|eyekema
5,14,control,katai,HARD,nuhua|zuwua|ruyua
5,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
5,16,control,hisohiso,WHISPERING,nake|dzame|zyage
6,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
6,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
6,3,trial,kaQtarii,EXHAUSTED|TIRED|WEARY,nuhuha|zuwukya|ruyuka
6,4,trial,zuQkoi,CUNNING|SLY|SNEAKY,ginea|kyizea|kirea
6,5,trial,tyiQtyai,SMALL|LITTLE|TINY,wawua|yayua|gagua
6,6,trial,syikusyiku,WATERY (EYES)|BLEARY (EYES),rani|nazi|mari
6,7,trial,iQpai,FULL (TO THE BRIM)|FULL (TO BURSTING),asyua|awua|ayua
6,8,trial,tataku,RAP (AT THE DOOR)|KNOCK (AT THE DOOR),huhuni|wuwuzi|yuyuri
6,9,trial,zuuzuusyii,RUDE|ARROGANT|BRAZEN,gigira|kyikyina|kikima
6,10,trial,tsumetee,COLD|CHILLY,hityoho|wisowo|yisyoyo
6,11,trial,nomeQkoi,SLIPPERY|SMOOTH,syetyonea|kesozea|hesyorea
6,12,trial,sabui,COLD|CHILLY,kutyia|muhia|gusyia
6,13,trial,kukuru,BIND|TIGHTEN,ninihi|zizikyi|ririki
6,14,control,katai,HARD,nuhua|zuwua|ruyua
6,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
6,16,control,hisohiso,WHISPERING,nake|dzame|zyage
7,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
7,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
7,3,trial,kibui,TIGHT|PINCHING,natyia|zahia|rasyia
7,4,trial,izyiizyi,ANNOYED|IMPATIENT,ama|awa|aha
7,5,trial,zuruNzuruN,SLIMY|GOOEY,gihiQ|kyikyiQ|kikiQ
7,6,trial,boNyari,FUZZY|BLURRY|HAZY,tyeQtuha|heQtyukya|syeQtsuka
7,7,trial,syiiN,QUIET,raQ|naQ|maQ
7,8,trial,zyuruzyuru,OOZING|DRIBBLING|SEEPING OUT (E.G. LIQUID),mihi|wikyi|hiki
7,9,trial,haQkiri,CLEAR|REFRESHED,nunaha|dzuzakya|zyuraka
7,10,trial,nobude,RUDE|ARROGANT|BRAZEN,syetyiwo|kehiyo|hesyiho
7,11,trial,syibutoi,RUDE|ARROGANT|BRAZEN,ratyihea|nahiwea|masyiyea
7,12,trial,biNbogena,SCRUFFY|TATTY|RAGGEDY,tyaQtyerosyu|haQhesoku|syaQsyetyohu
7,13,trial,osorosyii,SCARY|FRIGHTENING,ekehera|emekyena|egekema
7,14,control,katai,HARD,nuhua|zuwua|ruyua
7,15,control,pyoNpyoN,BOUNCING|HOPPING,neQ|zeQ|reQ
7,16,control,hisohiso,WHISPERING,nake|dzame|zyage
8,1,practice,yoroyoro,WOBBLING,tehe|tyekye|tseke
8,2,practice,fuwafuwa,FLUFFY,rizyu|gityu|nitsu
8,3,trial,taputapu,SLOSHING|SPLASHING,husyi|wuwi|yuyi
8,4,trial,kiiN,RINGING (E.G. A RINGING SOUND IN YOUR EARS),naQ|zaQ|raQ
8,5,trial,niyaniya,CRAMPING (E.G. IN STOMACH)|SPASMING (E.G. IN STOMACH),syatu|katyu|hatsu
