experiment,trial,item_type,form,meaning
1,1,practice,yoroyoro,WOBBLING
1,2,practice,fuwafuwa,FLUFFY
1,3,trial,tyiNtye,THIN|SLENDER
1,4,trial,syoQpee,SALTY|BRINY (taste)
1,5,trial,saQpari,CLEAR|REFRESHED
1,6,trial,oQkanai,SCARY|FRIGHTENING
1,7,trial,betabeta,STICKY|GOOEY
1,8,trial,syikasyika,ITCHING|PRICKLING
1,9,trial,saku,TEAR|RIP
1,10,trial,kitsuka,EXHAUSTED|TIRED|WEARY
1,11,trial,iteru,FREEZE
1,12,trial,kyootee,SCARY|FRIGHTENING
1,13,trial,hizurasyii,GLARING (light)|BLINDING (light)
1,14,control,katai,HARD
1,15,control,pyoNpyoN,BOUNCING|HOPPING
1,16,control,hisohiso,WHISPERING
2,1,practice,yoroyoro,WOBBLING
2,2,practice,fuwafuwa,FLUFFY
2,3,trial,gaNgaN,POUNDING (e.g. headache)|THROBBING (e.g. headache)
2,4,trial,urusai,LOUD|NOISY
2,5,trial,hirihiri,PRICKLING|TINGLING
2,6,trial,komai,SMALL|LITTLE|TINY
2,7,trial,karai,SPICY
2,8,trial,haku,SPIT|VOMIT
2,9,trial,syimiru,FREEZE
2,10,trial,egarai,PRICKLING|TINGLING
2,11,trial,kawaku,DRY|PARCHED
2,12,trial,kosobai,TICKLING
2,13,trial,tagee,LOUD|NOISY
2,14,control,katai,HARD
2,15,control,pyoNpyoN,BOUNCING|HOPPING
2,16,control,hisohiso,WHISPERING
3,1,practice,yoroyoro,WOBBLING
3,2,practice,fuwafuwa,FLUFFY
3,3,trial,netyanetya,STICKY|GOOEY
3,4,trial,komaka,THIN|SLENDER
3,5,trial,igaiga,PRICKLING|TINGLING
3,6,trial,iQpai,FULL (to the brim)|FULL (to bursting)
3,7,trial,nurunuru,SLIMY|SLIPPERY|SLICK
3,8,trial,iraira,ANNOYED|IMPATIENT
3,9,trial,omoi,OILY/HEAVY (food)
3,10,trial,geNki,LIVELY|ENERGETIC
3,11,trial,kanasyii,SAD|GLUM
3,12,trial,gurasyi,SAD|GLUM
3,13,trial,kukuru,BIND|TIGHTEN
3,14,control,katai,HARD
3,15,control,pyoNpyoN,BOUNCING|HOPPING
3,16,control,hisohiso,WHISPERING
4,1,practice,yoroyoro,WOBBLING
4,2,practice,fuwafuwa,FLUFFY
4,3,trial,kowa,SCARY|FRIGHTENING
4,4,trial,dzugedzuge,RUDE|ARROGANT|BRAZEN
4,5,trial,yawakoi,SOFT|SQUISHY
4,6,trial,yakamasyii,LOUD|NOISY
4,7,trial,samisyii,SAD|GLUM
4,8,trial,atsui,HOT
4,9,trial,hirihiri,THROBBING|PULSATING
4,10,trial,kaii,PRICKLING|TINGLING
4,11,trial,omosyaiN,GLAD|HAPPY
4,12,trial,akaanakaQta,DARK|DIM
4,13,trial,syibaru,BIND|TIGHTEN
4,14,control,katai,HARD
4,15,control,pyoNpyoN,BOUNCING|HOPPING
4,16,control,hisohiso,WHISPERING
5,1,practice,yoroyoro,WOBBLING
5,2,practice,fuwafuwa,FLUFFY
5,3,trial,gatagata,SHAKING|TREMBLING
5,4,trial,zuuzuusyii,RUDE|ARROGANT|BRAZEN
5,5,trial,suzusyii,COOL|FRESH
5,6,trial,piripiri,BURNING|TINGLING
5,7,trial,toroi,SLOW
5,8,trial,zyiNzyiN,POUNDING (e.g. headache)|THROBBING (e.g. headache)
5,9,trial,syaNsyaN,LIVELY|ENERGETIC
5,10,trial,hagai,ANNOYED|IMPATIENT
5,11,trial,syibutoi,RUDE|ARROGANT|BRAZEN
5,12,trial,herakoi,CUNNING|SLY|SNEAKY
5,13,trial,mabaii,GLARING (light)|BLINDING (light)
5,14,control,katai,HARD
5,15,control,pyoNpyoN,BOUNCING|HOPPING
5,16,control,hisohiso,WHISPERING
6,1,practice,yoroyoro,WOBBLING
6,2,practice,fuwafuwa,FLUFFY
6,3,trial,hosoi,SMALL|LITTLE|TINY
