letter,substitution,distance
m,y,7.75
m,h,7.75
m,Qk,7.75
p,y,9.0
p,r,8.5
p,w,8.5
b,y,8.0
b,r,7.5
b,w,7.5
f,w,8.5
f,y,8.0
f,n,7.5
f,r,7.5
f,Qg,7.5
n,w,9.5
n,py,8.5
n,y,8.0
n,h,8.0
n,Qk,8.0
ts,w,10.75
ts,y,9.25
ts,Qg,6.75
dz,w,9.75
dz,y,8.25
dz,py,7.25
t,w,10.75
t,y,9.25
t,m,6.5
d,w,9.75
d,y,8.25
d,h,6.75
s,w,9.75
s,y,8.25
s,Qg,7.75
z,w,8.75
z,py,8.25
z,Qk,7.75
zy,w,9.75
zy,y,8.25
zy,r,7.25
zy,py,7.25
r,py,10.5
r,Qk,10.0
r,Qp,9.5
sy,w,9.75
sy,y,8.25
sy,Qg,7.75
ty,w,10.75
ty,y,9.25
ty,r,8.25
k,r,9.0
k,w,8.0
k,n,7.0
g,r,8.0
g,w,7.0
g,h,7.0
w,Qt,11.75
w,ts,10.75
w,t,10.75
w,ty,10.75
w,Qd,10.75
y,Qt,10.25
y,Qp,10.0
y,ts,9.25
y,t,9.25
y,ty,9.25
y,Qd,9.25
h,n,8.0
h,r,8.0
h,w,8.0
h,Qg,8.0
ky,r,9.0
ky,w,8.0
ky,n,7.0
py,r,10.5
py,n,8.5
py,z,8.25
Qt,w,11.75
Qt,y,10.25
Qt,m,7.5
Qp,y,10.0
Qp,r,9.5
Qp,w,9.5
Qk,r,10.0
Qk,w,9.0
Qk,n,8.0
Qd,w,10.75
Qd,y,9.25
Qd,h,7.75
Qb,y,9.0
Qb,r,8.5
Qb,w,8.5
Qg,r,9.0
Qg,w,8.0
Qg,h,8.0
a,u,not calculated (user-specified substitution)
i,a,not calculated (user-specified substitution)
u,i,not calculated (user-specified substitution)
e,o,not calculated (user-specified substitution)
o,e,not calculated (user-specified substitution)
ii,a,not calculated (user-specified substitution)
oo,e,not calculated (user-specified substitution)
uu,i,not calculated (user-specified substitution)
aa,u,not calculated (user-specified substitution)
ee,o,not calculated (user-specified substitution)
