form,eng_trans,iconic,item,meaning,old_foil,goodone,done,notes,foils
fuwafuwa,SOFT,y,practice,FLUFFY,rizyu|gityu|nitsu,TRUE,yes,NA,rizyu|gityu|nitsu
yoroyoro,WOBBLING,y,practice,WOBBLING,tehe|tyekye|tseke,TRUE,yes,NA,tehe|tyekye|tseke
katai,HARD,y,control,HARD,nuhua|zuwua|ruyua,TRUE,yes,NA,nuhua|zuwua|ruyua
pyoNpyoN,HOPPING,y,control,BOUNCING|HOPPING,neQ|zeQ|reQ,TRUE,yes,NA,neQ|zeQ|reQ
hisohiso,WHISPERING,y,control,WHISPERING,nake|dzame|zyage,TRUE,yes,NA,nake|dzame|zyage
zyireQtai,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,mahohua|wakyowua|hakoyua,TRUE,NA,NA,waQkowua|yapyoyua|raQpomua
moyamoya,CLEAR,y,trial,FUZZY|BLURRY|HAZY,tyetu|setyu|syetsu,TRUE,NA,NA,yeQdu|hetyu|QkeQtu
saQpari,CLEAR,y,trial,CLEAR|REFRESHED,kusyuha|muwukya|guyuka,TRUE,NA,NA,wuruQpa|QguwuQka|yuyupya
guNnari,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,riQsyuha|siQkukya|tyiQhuka,TRUE,NA,NA,wiQyupya|riQQkuQpa|hiQpyuQka
syibareru,FREEZE,y,trial,FREEZE,ratyuhohi|nahukyokyi|masyukoki,TRUE,NA,NA,yaruQpopyi|QgayupyoQpi|wawuQkoQki
zyukazyuka,HUMID,y,trial,HUMID|MUGGY,NA,TRUE,NA,NA,pyiwu|riru|winu
guzyuguzyu,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),NA,TRUE,NA,NA,wipyi|hiyi|riwi
gaNgaN,POUNDING (HEAD),y,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),ruQ|suQ|tyuQ,TRUE,NA,NA,huQ|wuQ|ruQ
zukizuki,POUNDING (HEAD),y,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),gina|kyiza|kira,TRUE,NA,NA,pyiwa|wina|Qkira
syoQpee,SALTY,y,trial,SALTY|BRINY (taste),resyo|newo|meyo,TRUE,NA,NA,Qgero|yeyo|wewo
zuruzuru,SLIMY,y,trial,SLIMY|GOOEY|SLIPPERY,NA,TRUE,NA,NA,QkiQki|pyiQpi|wipyi
nurunuru,STICKY,y,trial,STICKY|GOOEY|GLOOPY,syihi|kikyi|hiki,TRUE,NA,NA,hipyi|QkiQki|yiQpi
migotsu,CLEAN,n,trial,CLEAN|TIDY,tyarehi|sasewi|syatyeyi,TRUE,NA,NA,Qkaheyi|yaweQgi|harewi
syibityoo,COLD TO TOUCH,n,trial,COLD|CHILLY,ratyawe|nahaye|masyage,TRUE,NA,NA,waware|Qgayawe|yaraye
tsumetee,COLD TO TOUCH,n,trial,COLD|CHILLY,hityoho|wisowo|yisyoyo,TRUE,NA,NA,Qgiyowo|yiQkomo|wihoyo
kitanai,CUNNING,n,trial,CUNNING|SLY|SNEAKY,nahusyua|zawukua|rayuhua,TRUE,NA,NA,wawuyua|namupyua|rayuwua
kogoru,FREEZE,n,trial,FREEZE,nerehi|zesekyi|retyeki,TRUE,NA,NA,nerepyi|weweQpi|reheQki
hidoroQko,GLARING (OVERLY BRIGHT),n,trial,GLARING (light)|BLINDING (light)|DAZZLING,nawehene|dzayekyeze|zyahekere,TRUE,NA,NA,raweQpene|QgaheQkere|nayepyewe
hizurasyii,GLARING (OVERLY BRIGHT),n,trial,GLARING (light)|BLINDING (light)|DAZZLING,nagihura|dzakyikyuna|zyakikuma,TRUE,NA,NA,QgaQkiQpuya|napyipyuQga|wawiQkuwa
mameda,LIVELY (ENERGETIC),n,trial,LIVELY|ENERGETIC,tyutyowu|susoyu|syusyohu,TRUE,NA,NA,yuhowu|huyohu|QkuQkoyu
syakiQ,LIVELY (ENERGETIC),n,trial,LIVELY|ENERGETIC,runaN|nuzaN|muraN,TRUE,NA,NA,QguwaN|wunaN|yuraN
tagee,NOISY,n,trial,LOUD|NOISY,NA,TRUE,NA,NA,muho|wuro|yuwo
kaii,PRICKLING,n,trial,PRICKLING|TINGLING|SCRATCHING,nua|zua|rua,TRUE,NA,NA,nua|rua|wua
nobui,RUDE,n,trial,RUDE|ARROGANT|BRAZEN,NA,TRUE,NA,NA,Qkeyia|hewia|yeria
kakazyiru,SCRATCH,n,trial,SCRATCH,nunumahi|zuzuwakyi|ruruhaki,TRUE,NA,NA,wururapyi|nunuwaQpi|ruwupyaQki
biNboQtarasyii,SHABBY,n,trial,SCRUFFY|TATTY|RAGGEDY,NA,TRUE,NA,NA,yaQweyuQkuya|raQrewuQpuQga|waQyemupyuwa
hosoi,SMALL,n,trial,SMALL|LITTLE|TINY,nekea|dzemea|zyegea,TRUE,NA,NA,Qgeyea|newea|weQgea
hiirakoi,TINGLING,n,trial,BURNING|TINGLING,NA,TRUE,NA,NA,waQpunea|naQkurea|Qgapyuwea
bisyonure,WET,n,trial,WET|SOGGY|DAMP,NA,TRUE,NA,NA,rawepyiQpo|yaQgehiQko|wayeyipyo
kutabireta,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,NA,TRUE,NA,NA,niwuraQpomu|rimuyapyoyu|wiyuwaQkowu
ootyakuna,RUDE,n,trial,RUDE|ARROGANT|BRAZEN,NA,TRUE,NA,NA,eyuripyu|ewuwiwu|eruniQku
tyiputoi,RUDE,n,trial,RUDE|ARROGANT|BRAZEN,NA,TRUE,NA,NA,yariwea|wayimea|rawiyea
esukaQta,SCARY,n,trial,SCARY|FRIGHTENING,NA,TRUE,NA,NA,oyiwuwu|oQginumu|owiruyu
zokuzoku,(SPINE) TINGLING,y,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),geni|kyezi|keri,TRUE,NA,NA,weri|pyeni|Qkewi
