experiment,trial,item_type,form,meaning,foils
1,1,practice,honnori,WAFTING,chirahora|nurunuru|berabera|bukubuku|ujauja|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,2,practice,chirahora,SKATTERED,honnori|nurunuru|berabera|bukubuku|ujauja|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,3,trial,nurunuru,SLIMY|SLIPPERY|GREASY,honnori|chirahora|berabera|bukubuku|ujauja|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,4,trial,chirahora,HERE AND THERE|TO AND FRO|SKATTERED,honnori|nurunuru|berabera|bukubuku|ujauja|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,5,trial,berabera,BLABBING ON |PRATTLING ON|CHATTERING,honnori|chirahora|nurunuru|bukubuku|ujauja|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,6,trial,bukubuku,CHUBBY|PUDGY|FAT,honnori|chirahora|nurunuru|berabera|ujauja|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,7,trial,ujauja,SQUIRMING|WRIGGLING|FIDGETY,honnori|chirahora|nurunuru|berabera|bukubuku|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,8,trial,morimori,MUSCLY|BUFF|BULKY,honnori|chirahora|nurunuru|berabera|bukubuku|ujauja|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,9,trial,hokahoka,STEAMING HOT|PIPING HOT|SCALDING HOT,honnori|chirahora|nurunuru|berabera|bukubuku|ujauja|morimori|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,10,trial,bukubuku2,ROUND|SWOLLEN|BLOATED,honnori|chirahora|nurunuru|berabera|ujauja|morimori|hokahoka|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
1,11,trial,buruburu,COLD|CHILLY|FREEZING,honnori|chirahora|nurunuru|berabera|bukubuku|ujauja|morimori|hokahoka|bukubuku2|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
2,1,practice,honnori,WAFTING,chirahora|nurunuru|berabera|bukubuku|ujauja|morimori|hokahoka|bukubuku2|buruburu|morimori3|ukiuki|wakuwaku|kankan2|boroboro|korokoro|chikuchiku|fuwafuwa|sansan|kunekune|wanwan|gojagoja2|sekaseka|debudebu|berabera2|gizagiza|betabeta|nikoniko-nomosaic|kirakira|gojagoja|kankan|kebakeba|shikkari|mojimoji|kankan3|dokidoki|gayagaya|kachikachi|morimori2|harahara|hiyahiya|gokugoku|korokoro2|hisohiso
