experiment,trial,item_type,form,meaning
1,1,practice,honnori,wafting
1,2,practice,chirahora,skattered
1,3,trial,mojimoji,restless|fidgety|squirming
1,4,trial,chikuchiku,prickling|stinging|tingling
1,5,trial,kankan3,clanging|clamoring|banging
1,6,trial,morimori,muscly|buff|bulky
1,7,trial,korokoro2,round|circular|curved
1,8,trial,korokoro,rolling|turning|spinning
1,9,trial,gizagiza,zig-zag|jagged|sharp edged
1,10,trial,harahara,fluttering|drifting|sinking
1,11,trial,dokidoki,anxious|afraid|nervous
2,1,practice,honnori,wafting
2,2,practice,chirahora,skattered
2,3,trial,betabeta,sticky|gummy|gooey
2,4,trial,bukubuku,chubby|pudgy|fat
2,5,trial,kachikachi,hard|solid|firm
2,6,trial,berabera2,tearing|shredding|ripping
2,7,trial,boroboro,sloppily|crumbling|messily
2,8,trial,shikkari,tightly|firmly|securely
2,9,trial,morimori2,gobbling|gorging (on food)|pigging out
2,10,trial,debudebu,fat|pudgy|dumpy
2,11,trial,nurunuru,slimy|slippery|greasy
3,1,practice,honnori,wafting
3,2,practice,chirahora,skattered
3,3,trial,wakuwaku,excited|cheerful|upbeat
3,4,trial,buruburu,cold|chilly|freezing
3,5,trial,hisohiso,whispering|hushed|quietly
3,6,trial,hiyahiya,relieved|close call|phew
3,7,trial,ujauja,squirming|wriggling|fidgety
3,8,trial,ukiuki,excited|cheerful|upbeat
3,9,trial,honnori,faintly|slightly|subtly
3,10,trial,gokugoku,gulping|guzzling|drinking
3,11,trial,sekaseka,rushing|hurried|flustered
4,1,practice,honnori,wafting
4,2,practice,chirahora,skattered
4,3,trial,buruburu,shaking|trembling|shivering
4,4,trial,gojagoja2,jumbled up|mixed up|muddled up
4,5,trial,kebakeba,fuzzy|frizzy|frazzled
4,6,trial,kankan,blazing|bright|dazzling
4,7,trial,morimori3,lumpy|in a mound|piled up
4,8,trial,gayagaya,loud|hubbub|noisy
4,9,trial,gojagoja,jumbled up|mixed up|muddled up
4,10,trial,kunekune,winding|twisting|twirling
4,11,trial,hokahoka,steaming hot|piping hot|scalding hot
5,1,practice,honnori,wafting
5,2,practice,chirahora,skattered
5,3,trial,bukubuku2,round|swollen|bloated
5,4,trial,kankan2,angry|furious|mad
5,5,trial,kirakira,sparkling|glittering|twinkling
5,6,trial,sansan,blazing|bright|dazzling
5,7,trial,fuwafuwa,fluffy|spongy|soft
5,8,trial,chirahora,here and there|to and fro|skattered
5,9,trial,nikoniko-nomosaic,smiling|beaming|grinning
5,10,trial,wanwan,crying|bawling|howling
5,11,trial,berabera,blabbing on |prattling on|chattering
