experiment,trial,item_type,form,meaning,foils
1,1,practice,honnori,WAFTING,chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,2,practice,chirahora,SKATTERED,honnori|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,3,trial,hiyahiya,RELIEVED|CLOSE CALL|PHEW,honnori|chirahora|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,4,trial,bukubuku,CHUBBY|PUDGY|FAT,honnori|chirahora|hiyahiya|harahara|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,5,trial,harahara,FLUTTERING|DRIFTING|SINKING,honnori|chirahora|hiyahiya|bukubuku|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,6,trial,debudebu,FAT|PUDGY|DUMPY,honnori|chirahora|hiyahiya|harahara|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,7,trial,chirahora,HERE AND THERE|TO AND FRO|SKATTERED,honnori|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,8,trial,fuwafuwa,FLUFFY|SPONGY|SOFT,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|kebakeba|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,9,trial,kebakeba,FUZZY|FRIZZY|FRAZZLED,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|nurunuru|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
1,10,trial,nurunuru,SLIMY|SLIPPERY|GREASY,honnori|chirahora|hiyahiya|bukubuku|harahara|debudebu|fuwafuwa|kebakeba|kachikachi|chikuchiku|boroboro|kankan2|kirakira|nikoniko-nomosaic|buruburu|gojagoja|wanwan|betabeta|morimori2|sansan|korokoro2|ukiuki|gizagiza|gokugoku|kunekune|dokidoki|morimori|bukubuku2|wakuwaku|gayagaya|mojimoji|kankan3|berabera2|kankan|korokoro|ujauja|morimori3|hisohiso|gojagoja2|sekaseka|berabera|hokahoka|shikkari
