experiment,trial,item_type,form,meaning,foils
1,1,practice,appleteacake,CAKE,adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,2,practice,adobo,CHICKEN,appleteacake|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,3,trial,chaicookie,COOKIE|FIKA|CHAI,appleteacake|adobo|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,4,trial,dutchbaby,BREAKFAST|APPLES|SUNDAY,appleteacake|adobo|chaicookie|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,5,trial,gooseberryvlaam,TART|MERINGUE|DELICIOUS,appleteacake|adobo|chaicookie|dutchbaby|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,6,trial,christmascake,CAKE|CREAM|STRAWBERRY,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,7,trial,custard,SMOOTH|CUSTARD,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,8,trial,borscht,SOUP|BEETROOT|WINTER,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,9,trial,cupcakes,CUTE|CAKES|FLUFFY,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,10,trial,fishpie,FISH|BRITISH|POTATOES,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
1,11,trial,eggplantcurry,CURRY|INDIAN|VEGETARIAN,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
2,1,practice,appleteacake,CAKE,adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
2,2,practice,adobo,CHICKEN,appleteacake|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
2,3,trial,cornfritters,FRITTERS|CORN|SUMMER,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|butterchicken|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
2,4,trial,butterchicken,CHICKEN|INDIAN|BUTTER,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|caramelpudding|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
2,5,trial,caramelpudding,PUDDING|CARAMEL|BRITISH,appleteacake|adobo|chaicookie|dutchbaby|gooseberryvlaam|christmascake|custard|borscht|cupcakes|fishpie|eggplantcurry|cornfritters|butterchicken|cremecaramel|chocolatecake|blackberrypav|kapusniak|gozleme|cremebrulee|crunchytofu|bretontiramisu|goldenpudding|carrotcake|ciambella|cauliflowersoup|chickenpie|dalmakhani|blacksesame
