experiment,trial,item_type,form,meaning
1,1,practice,appleteacake,cake
1,2,practice,adobo,chicken
1,3,trial,bretontiramisu,dessert|italian|coffee
1,4,trial,kapusniak,soup|winter|dumplings
1,5,trial,crunchytofu,crunchy|tofu|korean
1,6,trial,ciambella,bundt|cake|italian
1,7,trial,chickenpie,pie|chicken|mushroom
1,8,trial,caramelpudding,pudding|caramel|british
1,9,trial,gozleme,turkish|crepes|spinach
1,10,trial,fishpie,fish|british|potatoes
1,11,trial,cupcakes,cute|cakes|fluffy
2,1,practice,appleteacake,cake
2,2,practice,adobo,chicken
2,3,trial,gooseberryvlaam,tart|meringue|delicious
2,4,trial,dutchbaby,breakfast|apples|sunday
2,5,trial,carrotcake,carrots|sweet|cake
2,6,trial,custard,smooth|custard
2,7,trial,borscht,soup|beetroot|winter
2,8,trial,goldenpudding,golden|fluffy|comforting
2,9,trial,dalmakhani,indian|curry|comforting
2,10,trial,chaicookie,cookie|fika|chai
2,11,trial,butterchicken,chicken|indian|butter
3,1,practice,appleteacake,cake
3,2,practice,adobo,chicken
3,3,trial,cremecaramel,dessert|french|fancy
3,4,trial,chocolatecake,chocolate|love|cake
3,5,trial,cremebrulee,custard|sugar|crunchy
3,6,trial,cauliflowersoup,cauliflower|soup|golden
3,7,trial,cornfritters,fritters|corn|summer
3,8,trial,eggplantcurry,curry|indian|vegetarian
3,9,trial,blacksesame,icecream|cold|japanese
3,10,trial,blackberrypav,pavlova|winter|dessert
3,11,trial,christmascake,cake|cream|strawberry
