experiment,item_type,form,meaning,foils,hypothesis
1,practice,yoroyoro,WOBBLING,fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,practice,fuwafuwa,FLUFFY,yoroyoro|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,yakiyaki,ANNOYED|IMPATIENT,yoroyoro|fuwafuwa|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,saku,TEAR|RIP,yoroyoro|fuwafuwa|yakiyaki|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,yakamasyii,LOUD|NOISY,yoroyoro|fuwafuwa|yakiyaki|saku|kutakuta|kyuukutsuka|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,kutakuta,EXHAUSTED|TIRED|WEARY,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,kyuukutsuka,TIGHT|PINCHING,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,yagurasyika,LOUD|NOISY,yoroyoro|fuwafuwa|yakiyaki|saku|kutakuta|kyuukutsuka|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,nebaneba,STICKY|GOOEY,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,zoNzoN,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,trial,kosui,CUNNING|SLY|SNEAKY,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,not iconic
1,control,katai,HARD,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,not iconic
1,control,pyoNpyoN,BOUNCING|HOPPING,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
1,control,hisohiso,WHISPERING,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|ookii|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
2,trial,ookii,BIG|MASSIVE|LARGE|HUGE,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|zuruNzuruN|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
2,trial,zuruNzuruN,SLIMY|GOOEY,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|tyiQtyai|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|iQpai|maNpuku,iconic
2,trial,tyiQtyai,SMALL|LITTLE|TINY,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|boNyari|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
2,trial,boNyari,FUZZY|BLURRY|HAZY,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|suu|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
2,trial,suu,SUCK,yoroyoro|fuwafuwa|yakiyaki|saku|yakamasyii|kutakuta|kyuukutsuka|yagurasyika|nebaneba|zoNzoN|kosui|katai|pyoNpyoN|hisohiso|ookii|zuruNzuruN|tyiQtyai|boNyari|zyiNzyiN|motyokoi|geNki|semai|kiree|hetoheto|kiiN|zarazara|nurunuru|iQpai|maNpuku,iconic
