ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
a	+	-	+	+	+	0	-	-	-	-	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ã	+	-	+	+	+	0	-	-	-	-	-	+	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ḁ	+	-	+	+	+	0	-	-	-	-	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	-	0	+
ɑ	+	-	+	+	+	0	-	-	-	+	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɒ	+	-	+	+	+	0	-	-	-	+	-	+	-	-	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɑ̃	+	-	+	+	+	0	-	-	-	+	-	+	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɒ̃	+	-	+	+	+	0	-	-	-	+	-	+	-	+	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɑ̥	+	-	+	+	+	0	-	-	-	+	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	-	0	+
ɒ̥	+	-	+	+	+	0	-	-	-	+	-	+	-	-	-	0	+	-	+	0	0	0	-	+	-	-	-	-	-	0	+
aː	+	-	+	+	+	0	-	-	-	-	-	+	+	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ãː	+	-	+	+	+	0	-	-	-	-	-	+	+	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɑː	+	-	+	+	+	0	-	-	-	+	-	+	+	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɒː	+	-	+	+	+	0	-	-	-	+	-	+	+	-	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
ɑ̃ː	+	-	+	+	+	0	-	-	-	+	-	+	+	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
ɒ̃ː	+	-	+	+	+	0	-	-	-	+	-	+	+	+	-	0	+	-	+	0	0	0	-	+	-	+	-	-	-	0	+
æ	+	-	+	+	+	0	-	-	+	-	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
æ̃	+	-	+	+	+	0	-	-	+	-	-	+	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
æ̥	+	-	+	+	+	0	-	-	+	-	-	+	-	-	-	0	-	-	+	0	0	0	-	-	-	-	-	-	-	0	+
æː	+	-	+	+	+	0	-	-	+	-	-	+	+	-	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
æ̃ː	+	-	+	+	+	0	-	-	+	-	-	+	+	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	-	0	+
