ipa	cons	son	voc	syllabic	cor	ant	high	low	back	round	distr	glot_cl	nasal	lat	cont	del_rel	mv_glot_cl	tense	hi_subgl_pr	voice	strid	long	extra
ǃ	+	-	-	-	+	+	+	-	+	-	-	-	-	-	-	-	n	n	-	-	-	-	-
ǃʰ	+	-	-	-	+	+	+	-	+	-	-	-	-	-	-	-	n	+	+	-	-	-	-
ǀ	+	-	-	-	+	+	+	-	+	-	+	-	-	-	-	-	n	n	-	-	-	-	-
ǀʰ	+	-	-	-	+	+	+	-	+	-	+	-	-	-	-	-	n	+	+	-	-	-	-
ǁ	+	-	-	-	+	+	+	-	+	-	.	-	-	+	-	-	n	n	-	-	-	-	-
ǂ	+	-	-	-	-	-	+	-	+	-	+	-	-	-	-	-	n	n	-	-	-	-	-
a	-	+	+	+	-	-	-	+	+	-	n	-	-	n	+	n	n	-	-	+	-	-	-
ã	-	+	+	+	-	-	-	+	+	-	n	-	+	n	+	n	n	-	-	+	-	-	-
ḁ	-	+	-	+	-	-	-	+	+	-	n	-	-	n	+	n	n	-	-	-	-	-	-
ɐ	-	+	+	+	-	-	-	+	+	-	n	-	-	n	+	n	n	+	-	+	-	-	-
ɑ	-	+	+	+	-	-	-	+	+	-	n	-	-	n	+	n	n	-	-	+	-	-	-
ɒ	-	+	+	+	-	-	-	+	+	+	n	-	-	n	+	n	n	-	-	+	-	-	-
ɑ̃	-	+	+	+	-	-	-	+	+	-	n	-	+	n	+	n	n	-	-	+	-	-	-
aː	-	+	+	+	-	-	-	+	+	-	n	-	-	n	+	n	n	-	-	+	-	+	-
ãː	-	+	+	+	-	-	-	+	+	-	n	-	+	n	+	n	n	-	-	+	-	+	-
ɐː	-	+	+	+	-	-	-	+	+	-	n	-	-	n	+	n	n	+	-	+	-	+	-
ɑː	-	+	+	+	-	-	-	+	+	-	n	-	-	n	+	n	n	-	-	+	-	+	-
ɒː	-	+	+	+	-	-	-	+	+	+	n	-	-	n	+	n	n	-	-	+	-	+	-
æ	-	+	+	+	-	-	-	+	-	-	n	-	-	n	+	n	n	+	-	+	-	-	-
æ̃	-	+	+	+	-	-	-	+	-	-	n	-	+	n	+	n	n	+	-	+	-	-	-
æː	-	+	+	+	-	-	-	+	-	-	n	-	-	n	+	n	n	+	-	+	-	+	-
aj	-	+	+	+	-	-	-	+	+	-	n	-	-	n	+	n	n	+	-	+	-	+	-
au	-	+	+	+	-	-	-	+	+	.	n	-	-	n	+	n	n	+	-	+	-	+	-
aʊ	-	+	+	+	-	-	-	+	+	.	n	-	-	n	+	n	n	-	-	+	-	+	-
b	+	-	-	-	-	+	-	-	-	-	+	-	-	n	-	-	n	.	-	+	-	-	-
ɓ	+	-	-	-	-	+	-	-	-	-	+	+	-	n	-	-	+	.	-	+	-	-	-
bʼ	+	-	-	-	-	+	-	-	-	-	+	+	-	n	-	-	+	+	-	+	-	-	-
bː	+	-	-	-	-	+	-	-	-	-	+	-	-	n	-	-	n	.	-	+	-	+	-
bʰ	+	-	-	-	-	+	-	-	-	-	+	-	-	n	-	-	n	+	+	+	-	-	-
bʲ	+	-	-	-	-	+	+	-	-	-	+	-	-	n	-	-	n	.	-	+	-	-	-
bʷ	+	-	-	-	-	+	-	-	-	+	+	-	-	n	-	-	n	.	-	+	-	-	-
ɓʷ	+	-	-	-	-	+	-	-	-	+	+	+	-	n	-	-	+	.	-	+	-	-	-
c	+	-	-	-	-	-	+	-	-	-	.	-	-	n	-	-	n	.	-	-	-	-	-
cʼ	+	-	-	-	-	-	+	-	-	-	.	+	-	n	-	-	+	+	-	-	-	-	-
ɔ	-	+	+	+	-	-	-	-	+	+	n	-	-	n	+	n	n	-	-	+	-	-	-
ɕ	+	-	-	-	+	-	+	-	-	-	+	-	-	-	+	n	n	.	-	-	+	-	-
ɔ̃	-	+	+	+	-	-	-	-	+	+	n	-	+	n	+	n	n	-	-	+	-	-	-
ɔ̥	-	+	-	+	-	-	-	-	+	+	n	-	-	n	+	n	n	-	-	-	-	-	-
ɔː	-	+	+	+	-	-	-	-	+	+	n	-	-	n	+	n	n	-	-	+	-	+	-
ɔ̃ː	-	+	+	+	-	-	-	-	+	+	n	-	+	n	+	n	n	-	-	+	-	+	-
cʰ	+	-	-	-	-	-	+	-	-	-	.	-	-	n	-	-	n	+	+	-	-	-	-
ɕʰ	+	-	-	-	+	-	+	-	-	-	+	-	-	-	+	n	n	+	+	-	+	-	-
ɔi	-	+	+	+	-	-	-	-	+	.	n	-	-	n	+	n	n	-	-	+	-	+	-
cʷ	+	-	-	-	-	-	+	-	-	+	.	-	-	n	-	-	n	.	-	-	-	-	-
çʷ	+	-	-	-	-	-	+	-	-	+	.	-	-	n	+	n	n	.	-	-	-	-	-
d	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	n	.	-	+	-	-	-
ɗ	+	-	-	-	+	+	-	-	-	-	-	+	-	-	-	-	+	.	-	+	-	-	-
dʼ	+	-	-	-	+	+	-	-	-	-	-	+	-	-	-	-	+	+	-	+	-	-	-
ð	+	-	-	-	+	+	-	-	-	-	.	-	-	-	+	n	n	.	-	+	-	-	-
dʰ	+	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	n	+	+	+	-	-	-
dʲ	+	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	n	.	-	+	-	-	-
ðʲ	+	-	-	-	+	+	+	-	-	-	.	-	-	-	+	n	n	.	-	+	-	-	-
dʷ	+	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	n	.	-	+	-	-	-
ɗʷ	+	-	-	-	+	+	-	-	-	+	-	+	-	-	-	-	+	.	-	+	-	-	-
