experiment,item_type,form,meaning,foils,hypothesis
1,practice,honnori,WAFTING,chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,practice,chirahora,SKATTERED,honnori|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,betabeta,STICKY|GUMMY|GOOEY,honnori|chirahora|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,sekaseka,RUSHING|HURRIED|FLUSTERED,honnori|chirahora|betabeta|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,honnori,FAINTLY|SLIGHTLY|SUBTLY,chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,fuwafuwa,FLUFFY|SPONGY|SOFT,honnori|chirahora|betabeta|sekaseka|honnori|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,korokoro2,ROUND|CIRCULAR|CURVED,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,chirahora,HERE AND THERE|TO AND FRO|SKATTERED,honnori|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,sansan,BLAZING|BRIGHT|DAZZLING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|buruburu|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
1,trial,buruburu,SHAKING|TREMBLING|SHIVERING,honnori|chirahora|betabeta|sekaseka|honnori|fuwafuwa|korokoro2|chirahora|sansan|kankan3|kirakira|debudebu|ujauja|gojagoja|korokoro|hiyahiya|shikkari|bukubuku2|chikuchiku|kunekune|boroboro|berabera2|buruburu|hokahoka|wanwan|bukubuku|morimori|kebakeba|dokidoki|nikoniko-nomosaic|hisohiso|mojimoji|kankan|gojagoja2|kankan2|kachikachi|wakuwaku|nurunuru|harahara|gizagiza|morimori2|gokugoku|morimori3|berabera|ukiuki|gayagaya,none
