experiment,item_type,form,meaning,hypothesis
1,practice,yoroyoro,WOBBLING,iconic
1,practice,fuwafuwa,FLUFFY,iconic
1,trial,syobosyobo,WATERY (EYES)|BLEARY (EYES),iconic
1,trial,syaNsyaN,LIVELY|ENERGETIC,iconic
1,trial,kaQtarii,EXHAUSTED|TIRED|WEARY,iconic
1,trial,hirihiri,THROBBING|PULSATING,iconic
1,trial,kiree,CLEAN|TIDY,iconic
1,trial,kutyii,STUFFED (from eating too much)|FULL (from eating),iconic
1,trial,akarui,BRIGHT|SUNNY,iconic
1,trial,uzyauzya,SHAKING|TREMBLING,iconic
1,trial,yakiyaki,ANNOYED|IMPATIENT,iconic
1,trial,motyokoi,TICKLING,iconic
1,trial,nebaneba,STICKY|GOOEY,iconic
1,trial,tsuuN,RINGING (e.g. a ringing sound in your ears),iconic
1,trial,kyuukutsuka,TIGHT|PINCHING,iconic
1,trial,suzusyii,COOL|FRESH,iconic
1,trial,zawazawa,SHIVERS (DOWN YOUR SPINE)|(SPINE) TINGLING,iconic
1,trial,syiQpori,WET|SOGGY|DAMP,iconic
1,trial,nurunuru,SLIMY|SLIPPERY|SLICK,iconic
1,trial,zuruNzuruN,SLIMY|GOOEY,iconic
1,trial,zarazara,ROUGH|GRITTY|COARSE,iconic
1,trial,igai,BIG|MASSIVE|LARGE|HUGE,not iconic
1,trial,koragu,DRY|PARCHED,not iconic
1,trial,kosui,CUNNING|SLY|SNEAKY,not iconic
1,trial,hasyikai,ITCHING|PRICKLING,not iconic
1,trial,sabui,COLD|CHILLY,not iconic
1,trial,tsurai,SAD|GLUM,not iconic
1,trial,erai,EXHAUSTED|TIRED|WEARY,not iconic
1,trial,kowai,HARD,not iconic
1,trial,deQkai,ROUGH|GRITTY|COARSE,not iconic
1,trial,koe,SLUGGISH|LETHARGIC,not iconic
1,control,katai,HARD,iconic
1,control,pyoNpyoN,BOUNCING|HOPPING,iconic
1,control,hisohiso,WHISPERING,iconic
2,practice,yoroyoro,WOBBLING,iconic
2,practice,fuwafuwa,FLUFFY,iconic
2,trial,piNpiN,LIVELY|ENERGETIC,iconic
2,trial,zyimezyime,HUMID|MUGGY,iconic
2,trial,tyikatyika,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic
2,trial,igaiga,PRICKLING|TINGLING,iconic
2,trial,yakamasyii,LOUD|NOISY,iconic
2,trial,boroboro,SCRUFFY|TATTY|RAGGEDY,iconic
2,trial,zyiNzyiN,POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic
2,trial,ookii,BIG|MASSIVE|LARGE|HUGE,iconic
2,trial,suu,SUCK,iconic
2,trial,yagurasyika,LOUD|NOISY,iconic
2,trial,tyikutyiku,ITCHING|PRICKLING,iconic
2,trial,karai,SALTY|BRINY (taste),iconic
2,trial,semai,CRAMPED|TIGHT,iconic
2,trial,tyiraatyiraa,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic
2,trial,oQkanai,SCARY|FRIGHTENING,iconic
2,trial,kiiN,RINGING (e.g. a ringing sound in your ears),iconic
2,trial,aQtakee,WARM,iconic
2,trial,paNpaN,STUFFED (from eating too much)|FULL (from eating),iconic
2,trial,darui,SLUGGISH|LETHARGIC,iconic
2,trial,kaii,ITCHING|PRICKLING,not iconic
2,trial,dareta,WORN OUT|TIRED|WEARY|EXHAUSTED,not iconic
2,trial,karui,LIGHT|AIRY,not iconic
2,trial,kara,EMPTY,not iconic
2,trial,maNpuku,STUFFED (from eating too much)|FULL (from eating),not iconic
2,trial,kitsuka,SLUGGISH|LETHARGIC,not iconic
2,trial,matsupoi,GLARING (light)|BLINDING (light),not iconic
2,trial,syiNdoi,SLUGGISH|LETHARGIC,not iconic
2,trial,nigiyaka,LOUD|NOISY,not iconic
2,trial,kooru,FREEZE,not iconic
2,control,katai,HARD,iconic
2,control,pyoNpyoN,BOUNCING|HOPPING,iconic
2,control,hisohiso,WHISPERING,iconic
3,practice,yoroyoro,WOBBLING,iconic
3,practice,fuwafuwa,FLUFFY,iconic
3,trial,subesube,SLIPPERY|SMOOTH,iconic
3,trial,tyiQtyai,SMALL|LITTLE|TINY,iconic
3,trial,saku,TEAR|RIP,iconic
3,trial,saQpari,CLEAN|TIDY,iconic
3,trial,deQkai,BIG|MASSIVE|LARGE|HUGE,iconic
