concept,form,item,meaning,iconic,foils
WOBBLING,yoroyoro,practice,WOBBLING,y,tehe|tyekye|tseke
SOFT,fuwafuwa,practice,FLUFFY,y,rizyu|gityu|nitsu
HARD,katai,control,HARD,y,nuhua|zuwua|ruyua
HOPPING,pyoNpyoN,control,BOUNCING|HOPPING,y,neQ|zeQ|reQ
WHISPERING,hisohiso,control,WHISPERING,y,nake|dzame|zyage
CRAMPING (STOMACH),tyikutyiku,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),y,wani|yazi|gari
WET,syiQpori,trial,WET|SOGGY|DAMP,y,rasyeha|nawekya|mayeka
COARSE,zarazara,trial,ROUGH|GRITTY|COARSE,y,guhu|kyukyu|kuku
STICKY,nebaneba,trial,STICKY|GOOEY,y,syotyu|kohu|hosyu
SLIMY,nurunuru,trial,SLIMY|SLIPPERY|SLICK,y,syihi|kikyi|hiki
HUMID,zyimezyime,trial,HUMID|MUGGY,y,matyo|waso|hasyo
SLOSHING,kapokapo,trial,SLOSHING|SPLASHING,y,nusye|zuwe|ruye
ANNOYED/IMPATIENT,yakiyaki,trial,ANNOYED|IMPATIENT,y,tuna|tyuza|tsura
SLUGGISH,darui,trial,SLUGGISH|LETHARGIC,y,wuhia|yukyia|hukia
PRICKLING,igaiga,trial,PRICKLING|TINGLING,y,aru|asu|atyu
THROBBING,hirihiri,trial,THROBBING|PULSATING,y,naha|dzakya|zyaka
EXHAUSTED,hetoheto,trial,EXHAUSTED|TIRED|WEARY,y,nohe|dzowe|zyoye
COOL,suzusyii,trial,COOL|FRESH,y,kigira|mikyina|gikima
SLIMY,zuruNzuruN,trial,SLIMY|GOOEY,y,gihiQ|kyikyiQ|kikiQ
OILY/HEAVY (FOOD),omoi,trial,OILY/HEAVY (food),y,etyea|esea|esyea
STINGING (PAIN),tyiraatyiraa,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",y,wahu|yakyu|gaku
WATERY (EYES),syobosyobo,trial,WATERY (EYES)|BLEARY (EYES),y,retye|nehe|mesye
SLIMY,nebaneba,trial,SLIMY|GOOEY,y,syotyu|kohu|hosyu
PRICKLING,serasera,trial,PRICKLING|TINGLING,y,kohu|mokyu|goku
SCARY,oQkanai,trial,SCARY|FRIGHTENING,y,enusyua|ezukua|eruhua
ITCHING,kaii,trial,ITCHING|PRICKLING,n,nua|zua|rua
FREEZE,kooru,trial,FREEZE,n,nehi|zekyi|reki
TEAR,sabaku,trial,TEAR|RIP,n,kutyuni|muhuzi|gusyuri
