experiment,trial,item_type,form,meaning,hypothesis
1,1,practice,yoroyoro,WOBBLING,iconic
1,2,practice,fuwafuwa,FLUFFY,iconic
1,3,trial,yagurasyika,LOUD|NOISY,iconic
1,4,trial,yaQkiri,ANNOYED|IMPATIENT,iconic
1,5,trial,zyimezyime,HUMID|MUGGY,iconic
1,6,trial,mukamuka,ANNOYED|IMPATIENT,iconic
1,7,trial,karai,SALTY|BRINY (taste),iconic
1,8,trial,akarui,BRIGHT|SUNNY,iconic
1,9,trial,motyokoi,TICKLING,iconic
1,10,trial,betabeta,STICKY|GOOEY,iconic
1,11,trial,mabusyii,GLARING (light)|BLINDING (light)|DAZZLING,iconic
1,12,trial,syiQpori,WET|SOGGY|DAMP,iconic
1,13,trial,syizukaya,QUIET,iconic
1,14,trial,zawazawa,SHIVERS (DOWN YOUR SPINE)|(SPINE) TINGLING,iconic
1,15,trial,serasera,PRICKLING|TINGLING,iconic
1,16,trial,kurai,DARK|DIM,iconic
1,17,trial,semai,CRAMPED|TIGHT,iconic
1,18,trial,tsuuN,RINGING (e.g. a ringing sound in your ears),iconic
1,19,trial,kiree,CLEAN|TIDY,iconic
1,20,trial,zarazara,ROUGH|GRITTY|COARSE,iconic
1,21,trial,dotsuku,RAP (at the door)|KNOCK (at the door),iconic
1,22,trial,miQtomonai,SCRUFFY|TATTY|RAGGEDY,not iconic
1,23,trial,igai,BIG|MASSIVE|LARGE|HUGE,not iconic
1,24,trial,omoreru,HUMID|MUGGY,not iconic
1,25,trial,hasyikai,ITCHING|PRICKLING,not iconic
1,26,trial,karui,LIGHT|AIRY,not iconic
1,27,trial,kooru,FREEZE,not iconic
1,28,trial,hasyikai,PRICKLING|TINGLING,not iconic
1,29,trial,matsupoi,GLARING (light)|BLINDING (light),not iconic
1,30,trial,kosui,CUNNING|SLY|SNEAKY,not iconic
1,31,trial,kitsuka,EXHAUSTED|TIRED|WEARY,not iconic
1,32,control,katai,HARD,iconic
1,33,control,pyoNpyoN,BOUNCING|HOPPING,iconic
1,34,control,hisohiso,WHISPERING,iconic
2,1,practice,yoroyoro,WOBBLING,iconic
2,2,practice,fuwafuwa,FLUFFY,iconic
2,3,trial,kiiN,RINGING (e.g. a ringing sound in your ears),iconic
2,4,trial,tyikutyiku,ITCHING|PRICKLING,iconic
2,5,trial,kapokapo,SLOSHING|SPLASHING,iconic
2,6,trial,nebaneba,STICKY|GOOEY,iconic
2,7,trial,nurunuru,SLIMY|SLIPPERY|SLICK,iconic
2,8,trial,musyimusyi,HUMID|MUGGY,iconic
2,9,trial,boNyari,FUZZY|BLURRY|HAZY,iconic
2,10,trial,tyikatyika,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic
2,11,trial,saku,TEAR|RIP,iconic
2,12,trial,igaiga,PRICKLING|TINGLING,iconic
2,13,trial,saQpari,CLEAN|TIDY,iconic
2,14,trial,uzyauzya,SHAKING|TREMBLING,iconic
2,15,trial,hetoheto,EXHAUSTED|TIRED|WEARY,iconic
2,16,trial,kudoi,OILY/HEAVY (food),iconic
2,17,trial,netyinetyi,CLINGY,iconic
2,18,trial,zuruNzuruN,SLIMY|GOOEY,iconic
2,19,trial,piNpiN,LIVELY|ENERGETIC,iconic
2,20,trial,booQ,FUZZY|BLURRY|HAZY,iconic
2,21,trial,deQkai,BIG|MASSIVE|LARGE|HUGE,iconic
2,22,trial,koenee,EXHAUSTED|TIRED|WEARY,not iconic
2,23,trial,kara,EMPTY,not iconic
2,24,trial,hau,CRAWL|CREEP,not iconic
2,25,trial,sabui,COLD|CHILLY,not iconic
2,26,trial,modokasyii,ANNOYED|IMPATIENT,not iconic
2,27,trial,koi,RICH (taste)|STRONG (taste),not iconic
2,28,trial,nigiyaka,LOUD|NOISY,not iconic
2,29,trial,hagai,ANNOYED|IMPATIENT,not iconic
2,30,trial,kaku,SCRATCH,not iconic
2,31,trial,dareta,WORN OUT|TIRED|WEARY|EXHAUSTED,not iconic
2,32,control,katai,HARD,iconic
2,33,control,pyoNpyoN,BOUNCING|HOPPING,iconic
2,34,control,hisohiso,WHISPERING,iconic
3,1,practice,yoroyoro,WOBBLING,iconic
3,2,practice,fuwafuwa,FLUFFY,iconic
3,3,trial,darui,SLUGGISH|LETHARGIC,iconic
3,4,trial,oQkanai,SCARY|FRIGHTENING,iconic
3,5,trial,suzusyii,COOL|FRESH,iconic
3,6,trial,tyiQtyai,SMALL|LITTLE|TINY,iconic
3,7,trial,subesube,SLIPPERY|SMOOTH,iconic
3,8,trial,netyanetya,STICKY|GOOEY,iconic
3,9,trial,syaNsyaN,LIVELY|ENERGETIC,iconic
3,10,trial,aQtakee,WARM,iconic
3,11,trial,izyiizyi,ANNOYED|IMPATIENT,iconic
3,12,trial,iQpai,FULL (to the brim)|FULL (to bursting),iconic
3,13,trial,tyikutyiku,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic
3,14,trial,nigai,ACRID (taste)|BITTER (taste),iconic
3,15,trial,fuku,BLOW|PUFF,iconic
3,16,trial,boroboro,SCRUFFY|TATTY|RAGGEDY,iconic
3,17,trial,zyiNzyiN,POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic
3,18,trial,paNpaN,STUFFED (from eating too much)|FULL (from eating),iconic
3,19,trial,nebaneba,SLIMY|GOOEY,iconic
3,20,trial,yakiyaki,ANNOYED|IMPATIENT,iconic
3,21,trial,tsurai,SAD|GLUM,not iconic
3,22,trial,sabaku,TEAR|RIP,not iconic
3,23,trial,notaru,CRAWL|CREEP,not iconic
3,24,trial,yogoreru,WET|SOGGY|DAMP,not iconic
3,25,trial,koragu,DRY|PARCHED,not iconic
3,26,trial,mawaru,ROLL|SPIN,not iconic
3,27,trial,deQkai,ROUGH|GRITTY|COARSE,not iconic
3,28,trial,maNpuku,STUFFED (from eating too much)|FULL (from eating),not iconic
3,29,trial,akaanakaQta,DARK|DIM,not iconic
3,30,trial,kanasyii,SAD|GLUM,not iconic
3,31,control,katai,HARD,iconic
3,32,control,pyoNpyoN,BOUNCING|HOPPING,iconic
3,33,control,hisohiso,WHISPERING,iconic
4,1,practice,yoroyoro,WOBBLING,iconic
4,2,practice,fuwafuwa,FLUFFY,iconic
4,3,trial,syikusyiku,WATERY (EYES)|BLEARY (EYES),iconic
4,4,trial,ookii,BIG|MASSIVE|LARGE|HUGE,iconic
4,5,trial,nurunuru,SLIMY|SLIPPERY|SLICK,iconic
4,6,trial,hiyaQkoi,COOL|FRESH,iconic
4,7,trial,kitsui,TIGHT|PINCHING,iconic
4,8,trial,syobosyobo,WATERY (EYES)|BLEARY (EYES),iconic
4,9,trial,yakamasyii,LOUD|NOISY,iconic
4,10,trial,keQko,CLEAN|TIDY,iconic
4,11,trial,iraira,PRICKLING|TINGLING,iconic
4,12,trial,tyiraatyiraa,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic
4,13,trial,suu,SUCK,iconic
4,14,trial,zoNzoN,SHIVERS (DOWN YOUR SPINE)|(SPINE) TINGLING,iconic
4,15,trial,kaQtarii,EXHAUSTED|TIRED|WEARY,iconic
4,16,trial,hirihiri,THROBBING|PULSATING,iconic
4,17,trial,osoi,SLOW,iconic
4,18,trial,kyuukutsuka,TIGHT|PINCHING,iconic
4,19,trial,kutyii,STUFFED (from eating too much)|FULL (from eating),iconic
4,20,trial,omoi,OILY/HEAVY (food),iconic
4,21,trial,mizukusai,BLAND (taste)|TASTELESS|WATERY (taste),not iconic
4,22,trial,kowai,HARD,not iconic
4,23,trial,kawaku,DRY|PARCHED,not iconic
4,24,trial,koe,SLUGGISH|LETHARGIC,not iconic
4,25,trial,erai,EXHAUSTED|TIRED|WEARY,not iconic
4,26,trial,kaii,ITCHING|PRICKLING,not iconic
