form,iconic,item,concept,meaning,no_foils,oldfoil
yoroyoro,y,practice,WOBBLING,WOBBLING,,tehe|tyekye|tseke
fuwafuwa,y,practice,SOFT,FLUFFY,,rizyu|gityu|nitsu
katai,n,control,HARD,HARD,,nuhua|zuwua|ruyua
pyoNpyoN,y,control,HOPPING,BOUNCING|HOPPING,,neQ|zeQ|reQ
hisohiso,y,control,WHISPERING,WHISPERING,,nake|dzame|zyage
zarazara,y,trial,ROUGH,ROUGH|GRITTY|COARSE,,guhu|kyukyu|kuku
nebaneba,y,trial,STICKY,STICKY|GOOEY,,syotyu|kohu|hosyu
yakiyaki,y,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,,tuna|tyuza|tsura
hetoheto,y,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,kutakuta,nohe|dzowe|zyoye
zuruNzuruN,y,trial,SLIMY,SLIMY|GOOEY,nurunuru,gihiQ|kyikyiQ|kikiQ
kutakuta,y,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,hetoheto,nihu|ziwu|riyu
nurunuru,y,trial,SLIMY,SLIMY|SLIPPERY|SLICK,zuruNzuruN,syihi|kikyi|hiki
zoNzoN,y,trial,SHIVERING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),,geQ|kyeQ|keQ
zyiNzyiN,y,trial,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),,maQ|waQ|haQ
tyiQtyai,y,trial,SMALL,SMALL|LITTLE|TINY,kyuukutsuka,wawua|yayua|gagua
suu,y,trial,SUCK,SUCK,,ki|mi|gi
ookii,y,trial,BIG,BIG|MASSIVE|LARGE|HUGE,,ena|eza|era
kiiN,y,trial,RINGING,RINGING (e.g. a ringing sound in your ears),,naQ|zaQ|raQ
kiree,y,trial,CLEAN,CLEAN|TIDY,,naho|zakyo|rako
geNki,n,trial,LIVELY (ENERGETIC),LIVELY|ENERGETIC,,roQna|soQza|tyoQra
saku,y,trial,TEAR,TEAR|RIP,,kuni|muzi|guri
semai,y,trial,CRAMPED,CRAMPED|TIGHT,tyiQtyai,kotyua|mosua|gosyua
kosui,n,trial,CUNNING,CUNNING|SLY|SNEAKY,,nekia|zemia|regia
motyokoi,y,trial,TICKLING,TICKLING,,tyewenea|seyezea|syegerea
iQpai,y,trial,FULL (TO THE BRIM),FULL (to the brim)|FULL (to bursting),,asyua|awua|ayua
maNpuku,n,trial,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),,tyuQsyini|suQwizi|syuQyiri
kyuukutsuka,y,trial,TIGHT,TIGHT|PINCHING,tyiQtyai,ninihinu|ziziwizu|ririyiru
boNyari,y,trial,FUZZY,FUZZY|BLURRY|HAZY,,tyeQtuha|heQtyukya|syeQtsuka
yagurasyika,y,trial,NOISY,LOUD|NOISY,yakamasyii,turihuranu|tyusikyunazu|tsutyikumaru
yakamasyii,y,trial,NOISY,LOUD|NOISY,yagurasyika,tunutyura|tyuzusuna|tsurusyuma
