experiment,item_type,form,meaning,foils,hypothesis
1,practice,yoroyoro,WOBBLING,fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,practice,fuwafuwa,FLUFFY,yoroyoro|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,trial,nebaneba,STICKY|GOOEY,yoroyoro|fuwafuwa|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,trial,zyiNzyiN,POUNDING (E.G. HEADACHE)|THROBBING (E.G. HEADACHE),yoroyoro|fuwafuwa|nebaneba|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,trial,kutakuta,EXHAUSTED|TIRED|WEARY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|yakiyaki|nurunuru|geNki,iconic
1,trial,kiree,CLEAN|TIDY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,trial,yakamasyii,LOUD|NOISY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|tyiQtyai|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,trial,tyiQtyai,SMALL|LITTLE|TINY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|zuruNzuruN|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,trial,zuruNzuruN,SLIMY|GOOEY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zarazara|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|geNki,iconic
1,trial,zarazara,ROUGH|GRITTY|COARSE,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|kosui|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,iconic
1,trial,kosui,CUNNING|SLY|SNEAKY,yoroyoro|fuwafuwa|nebaneba|zyiNzyiN|kutakuta|kiree|yakamasyii|tyiQtyai|zuruNzuruN|zarazara|katai|pyoNpyoN|hisohiso|motyokoi|saku|semai|suu|boNyari|ookii|zoNzoN|maNpuku|iQpai|kiiN|yagurasyika|kyuukutsuka|hetoheto|yakiyaki|nurunuru|geNki,not iconic
