form,eng_trans,status,item,meaning,old_foil,goodone,done,notes
zyireQtai,ANNOYED/IMPATIENT,iconic,trial,ANNOYED|IMPATIENT,mahohua|wakyowua|hakoyua,TRUE,NA,NA
moyamoya,CLEAR,iconic,trial,FUZZY|BLURRY|HAZY,tyetu|setyu|syetsu,TRUE,NA,NA
saQpari,CLEAR,iconic,trial,CLEAR|REFRESHED,kusyuha|muwukya|guyuka,TRUE,NA,NA
guNnari,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,riQsyuha|siQkukya|tyiQhuka,TRUE,NA,NA
syibareru,FREEZE,iconic,trial,FREEZE,ratyuhohi|nahukyokyi|masyukoki,TRUE,NA,NA
zyukazyuka,HUMID,iconic,trial,HUMID|MUGGY,NA,TRUE,NA,NA
guzyuguzyu,OOZING,iconic,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),NA,TRUE,NA,NA
gaNgaN,POUNDING (HEAD),iconic,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),ruQ|suQ|tyuQ,TRUE,NA,NA
zukizuki,POUNDING (HEAD),iconic,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),gina|kyiza|kira,TRUE,NA,NA
syoQpee,SALTY,iconic,trial,SALTY|BRINY (taste),resyo|newo|meyo,TRUE,NA,NA
zuruzuru,SLIMY,iconic,trial,SLIMY|GOOEY|SLIPPERY,NA,TRUE,NA,NA
nurunuru,STICKY,iconic,trial,STICKY|GOOEY|GLOOPY,syihi|kikyi|hiki,TRUE,NA,NA
migotsu,CLEAN,prosaic,trial,CLEAN|TIDY,tyarehi|sasewi|syatyeyi,TRUE,NA,NA
syibityoo,COLD TO TOUCH,prosaic,trial,COLD|CHILLY,ratyawe|nahaye|masyage,TRUE,NA,NA
tsumetee,COLD TO TOUCH,prosaic,trial,COLD|CHILLY,hityoho|wisowo|yisyoyo,TRUE,NA,NA
kitanai,CUNNING,prosaic,trial,CUNNING|SLY|SNEAKY,nahusyua|zawukua|rayuhua,TRUE,NA,NA
kogoru,FREEZE,prosaic,trial,FREEZE,nerehi|zesekyi|retyeki,TRUE,NA,NA
hidoroQko,GLARING (OVERLY BRIGHT),prosaic,trial,GLARING (light)|BLINDING (light)|DAZZLING,nawehene|dzayekyeze|zyahekere,TRUE,NA,NA
hizurasyii,GLARING (OVERLY BRIGHT),prosaic,trial,GLARING (light)|BLINDING (light)|DAZZLING,nagihura|dzakyikyuna|zyakikuma,TRUE,NA,NA
mameda,LIVELY (ENERGETIC),prosaic,trial,LIVELY|ENERGETIC,tyutyowu|susoyu|syusyohu,TRUE,NA,NA
syakiQ,LIVELY (ENERGETIC),prosaic,trial,LIVELY|ENERGETIC,runaN|nuzaN|muraN,TRUE,NA,NA
tagee,NOISY,prosaic,trial,LOUD|NOISY,NA,TRUE,NA,NA
kaii,PRICKLING,prosaic,trial,PRICKLING|TINGLING|SCRATCHING,nua|zua|rua,TRUE,NA,NA
nobui,RUDE,prosaic,trial,RUDE|ARROGANT|BRAZEN,NA,TRUE,NA,NA
kakazyiru,SCRATCH,prosaic,trial,SCRATCH,nunumahi|zuzuwakyi|ruruhaki,TRUE,NA,NA
biNboQtarasyii,SHABBY,prosaic,trial,SCRUFFY|TATTY|RAGGEDY,NA,TRUE,NA,NA
hosoi,SMALL,prosaic,trial,SMALL|LITTLE|TINY,nekea|dzemea|zyegea,TRUE,NA,NA
hiirakoi,TINGLING,prosaic,trial,BURNING|TINGLING,NA,TRUE,NA,NA
bisyonure,WET,prosaic,trial,WET|SOGGY|DAMP,NA,TRUE,NA,NA
kutabireta,EXHAUSTED,prosaic,trial,EXHAUSTED|TIRED|WEARY,NA,TRUE,NA,NA
ootyakuna,RUDE,prosaic,trial,RUDE|ARROGANT|BRAZEN,NA,TRUE,NA,NA
tyiputoi,RUDE,prosaic,trial,RUDE|ARROGANT|BRAZEN,NA,TRUE,NA,NA
esukaQta,SCARY,prosaic,trial,SCARY|FRIGHTENING,NA,TRUE,NA,NA
zokuzoku,(SPINE) TINGLING,iconic,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),geni|kyezi|keri,TRUE,NA,NA
zomizomi,(SPINE) TINGLING,iconic,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),getya|kyesa|kesya,TRUE,NA,NA
tyobiQto,A LITTLE,iconic,trial,A LITTLE|SLIGHTLY,NA,TRUE,NA,NA
tyoQto,A LITTLE,iconic,trial,A LITTLE|SLIGHTLY,wehe|yewe|geye,TRUE,NA,NA
iraira,ANNOYED/IMPATIENT,iconic,trial,ANNOYED|IMPATIENT,ahu|akyu|aku,TRUE,NA,NA
