form,eng_trans,status,item,meaning,old_foil,goodone,done,notes,foil
zyireQtai,ANNOYED/IMPATIENT,iconic,trial,ANNOYED|IMPATIENT,mahohua|wakyowua|hakoyua,TRUE,NA,NA,yaQkoyua|pyapyowua|pyaQpomua
moyamoya,CLEAR,iconic,trial,FUZZY|BLURRY|HAZY,tyetu|setyu|syetsu,TRUE,NA,NA,tyetyu|hetsu|QkeQpu
saQpari,CLEAR,iconic,trial,CLEAR|REFRESHED,kusyuha|muwukya|guyuka,TRUE,NA,NA,wuyuQka|yuwupya|QguQpuQpa
guNnari,EXHAUSTED,iconic,trial,EXHAUSTED|TIRED|WEARY,riQsyuha|siQkukya|tyiQhuka,TRUE,NA,NA,hiQQkiQpa|wiQpyipya|riQhiQka
syibareru,FREEZE,iconic,trial,FREEZE,ratyuhohi|nahukyokyi|masyukoki,TRUE,NA,NA,Qgawipyopyi|waQpiQpoQpi|yayiQkoQki
zyukazyuka,HUMID,iconic,trial,HUMID|MUGGY,NA,TRUE,NA,NA,pyiri|wini|yiwi
guzyuguzyu,OOZING,iconic,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),NA,TRUE,NA,NA,wiwi|hiri|riyi
gaNgaN,POUNDING (HEAD),iconic,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),ruQ|suQ|tyuQ,TRUE,NA,NA,wuQ|huQ|ruQ
zukizuki,POUNDING (HEAD),iconic,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),gina|kyiza|kira,TRUE,NA,NA,pyira|wiwa|Qnina
syoQpee,SALTY,iconic,trial,SALTY|BRINY (taste),resyo|newo|meyo,TRUE,NA,NA,Qgewe|were|yeye
zuruzuru,SLIMY,iconic,trial,SLIMY|GOOEY|SLIPPERY,NA,TRUE,NA,NA,pyipyi|wiQpi|QkiQki
nurunuru,STICKY,iconic,trial,STICKY|GOOEY|GLOOPY,syihi|kikyi|hiki,TRUE,NA,NA,pyiQki|hiQpi|Qkipyi
migotsu,CLEAN,prosaic,trial,CLEAN|TIDY,tyarehi|sasewi|syatyeyi,TRUE,NA,NA,yareyi|haheQhi|Qkawewi
syibityoo,COLD TO TOUCH,prosaic,trial,COLD|CHILLY,ratyawe|nahaye|masyage,TRUE,NA,NA,yaraye|waware|Qgayawe
tsumetee,COLD TO TOUCH,prosaic,trial,COLD|CHILLY,hityoho|wisowo|yisyoyo,TRUE,NA,NA,Qgihowo|yiQkoyo|wiyomo
kitanai,CUNNING,prosaic,trial,CUNNING|SLY|SNEAKY,nahusyua|zawukua|rayuhua,TRUE,NA,NA,wayuwua|namuQnua|rawuhua
kogoru,FREEZE,prosaic,trial,FREEZE,nerehi|zesekyi|retyeki,TRUE,NA,NA,neweQpi|werepyi|reheQri
hidoroQko,GLARING (OVERLY BRIGHT),prosaic,trial,GLARING (light)|BLINDING (light)|DAZZLING,nawehene|dzayekyeze|zyahekere,TRUE,NA,NA,QgaQgeQpeQpe|rawepyewe|wayeQkene
hizurasyii,GLARING (OVERLY BRIGHT),prosaic,trial,GLARING (light)|BLINDING (light)|DAZZLING,nagihura|dzakyikyuna|zyakikuma,TRUE,NA,NA,napyiQpiQgi|QgaQkipyiyi|rawiQkiwi
mameda,LIVELY (ENERGETIC),prosaic,trial,LIVELY|ENERGETIC,tyutyowu|susoyu|syusyohu,TRUE,NA,NA,QkuQkoyu|yuyohu|huhowu
syakiQ,LIVELY (ENERGETIC),prosaic,trial,LIVELY|ENERGETIC,runaN|nuzaN|muraN,TRUE,NA,NA,yuwaQ|QgunaQ|wuraQ
tagee,NOISY,prosaic,trial,LOUD|NOISY,NA,TRUE,NA,NA,wuho|muwo|yuro
kaii,PRICKLING,prosaic,trial,PRICKLING|TINGLING|SCRATCHING,nua|zua|rua,TRUE,NA,NA,wuu|nuu|ruu
nobui,RUDE,prosaic,trial,RUDE|ARROGANT|BRAZEN,NA,TRUE,NA,NA,yeria|pyewia|Qkeyia
kakazyiru,SCRATCH,prosaic,trial,SCRATCH,nunumahi|zuzuwakyi|ruruhaki,TRUE,NA,NA,ninipyapyi|ririyaQri|wiwiwaQpi
biNboQtarasyii,SHABBY,prosaic,trial,SCRUFFY|TATTY|RAGGEDY,NA,TRUE,NA,NA,pyaQpyewupyuwu|yaQyeyuQpuQgu|waQwemuQkuyu
